Genres,Tags,Country,Episodes,start airing,end airing,Aired On,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers,actors,platforms,drama_name,imdb_rating,imdb_user_count,imdb_description
"['historical', 'comedy', 'romance', 'drama']","['amnesia', 'hidden identity', 'marriage of convenience', 'joseon dynasty', 'fake marriage', 'eccentric male lead', 'hardworking female lead', 'double identity', 'strong female lead', 'riches to rags ']",South Korea,16,"Sep 10, 2018","Oct 30, 2018","['tuesday', 'monday']",['tvN'],75,8.3,26470,901,140,15+ - Teens 15 or older,"56,428","['Doh Kyung Soo', 'Nam Ji Hyun', 'Kim Seon Ho', 'Han So Hee', 'Jo Sung Ha', 'Kim Jae Young']","['WeTV', 'Netflix', 'Apple TV', 'iQIYI', 'Viki']",100 Days My Prince,7.8,"3,309",
"['comedy', 'romance', 'life']",['writer female lead '],South Korea,16,"Feb 15, 2012","Apr  5, 2012","['wednesday', 'thursday']",['tvN'],65,7.0,907,8242,4108,Not Yet Rated,"2,588","['Ohn Joo Wan', 'Yoon Jin Seo', 'Lee Yong Woo', 'Bae Geu Rin', 'Go Joon Hee', 'Kim Sung  Je']",[],12 Signs of Love,N/A,N/A,N/A
"['food', 'romance', 'drama']","['unexpected pregnancy', 'miscarriage', 'teenage pregnancy', 'pregnancy', 'high school to working life', 'rags to riches', 'high school', 'rich male lead', 'first love', 'student female lead ']",South Korea,26,"Mar 22, 2014","Jun 29, 2014","['saturday', 'sunday']",['jTBC'],70,7.2,2869,7778,2232,15+ - Teens 15 or older,"5,764","['Lee So Yeon', 'Namkoong Min', 'Lee Tae Im', 'Park Hae Mi', 'Shin Dong Mi', 'Song Young Kyu']",['Viki'],12 Years Promise,7.2,190,
"['romance', 'life', 'drama', 'fantasy']","['second chance', 'first love', 'father-son relationship', 'hardworking female lead', 'father-daughter relationship', 'mother-daughter relationship', 'life lesson', 'becoming young', 'hidden identity', 'character development ']",South Korea,16,"Sep 21, 2020","Nov 10, 2020","['monday', 'tuesday']",['jTBC'],70,8.7,28705,244,114,15+ - Teens 15 or older,"63,698","['Yoon Sang Hyun', 'Lee Do Hyun', 'Kim Ha Neul', 'Roh Jeong Eui', 'Ryeoun', 'Wi Ha Joon']",[],18 Again,8.2,"2,666",
"['romance', 'youth']","['miniseries', 'web series ']",South Korea,4,2023,?,N/A,N/A,N/A,N/A,N/A,99999,99999,Not Yet Rated,28,['Ryu In Young'],[],1st Republic,N/A,N/A,N/A
"['thriller', 'mystery', 'drama', 'fantasy']","['strong female lead', 'time travel', 'nice male lead', 'suspense', 'murder', 'fate', 'supernatural', 'lying', 'bromance', 'strong male lead ']",South Korea,24,"Mar 23, 2020","Apr 28, 2020","['monday', 'tuesday']",['MBC'],35,8.5,9007,449,491,15+ - Teens 15 or older,"24,945","['Lee Joon Hyuk', 'Nam Ji Hyun', 'Kim Jee Soo', 'Lee Sung Wook', 'Yoon Joo Sang', 'Ahn Seung Gyun']","['Viki', 'Kocowa']",365: Repeat the Year,7.9,842,
"['food', 'romance', 'drama', 'family']","['hardworking female lead', 'wrongfully accused', 'corruption', 'cohabitation', 'poor female lead', 'prison setting', 'manager supporting character', 'student-teacher relationship ']",South Korea,40,"Oct 25, 2014","Mar  8, 2015","['saturday', 'sunday']",['MBC'],64,7.7,1199,3715,3456,15+ - Teens 15 or older,"3,334","['Han Ji Hye', 'Ha Seok Jin', 'Go Doo Shim', 'Oh Hyun Kyung', 'Ha Yeon Soo', 'Byun Jung Soo']",[],4 Legendary Witches,N/A,N/A,N/A
"['military', 'historical', 'life', 'drama', 'political']","['massacre', 'gwangju uprising', 'death', 'based on true story ']",South Korea,41,"Apr 23, 2005","Sep  1, 2005","['saturday', 'sunday']",['MBC'],65,6.9,6,57995,99999,15+ - Teens 15 or older,99,"['Lee Deok Hwa', 'Seo In Seok', 'Kim Young Ran', 'Song Ok Sook', 'Jung Yoo Chan', 'Park In Hwan']",[],5th Republic,N/A,N/A,N/A
"['action', 'comedy', 'romance', 'crime']","['spy female lead', 'spy male lead', 'national intelligence service', 'rivals to lovers', 'second chance', 'espionage', 'rich male lead ']",South Korea,20,"Jan 23, 2013","Mar 28, 2013","['wednesday', 'thursday']",['MBC'],65,6.9,4828,8735,1299,15+ - Teens 15 or older,"10,676","['Joo Won', 'Choi Kang Hee', 'Kim Min Seo', 'Hwang Chan Sung', 'Noh Young Hak', 'Choi Jong Hwan']",[],7th Grade Civil Servant,6.2,154,
"['mystery', 'psychological', 'romance', 'medical']","['antisocial personality disorder', 'eccentric male lead', 'father-son relationship', 'surgeon male lead', 'emotional blunting', 'investigation', 'hospital setting', 'cold man/warm woman', 'slow burn romance', 'character development ']",South Korea,14,"Jun 20, 2016","Aug  2, 2016","['monday', 'tuesday']",['KBS2'],60,8.2,9936,1328,451,15+ - Teens 15 or older,"26,281","['Jang Hyuk', 'Park So Dam', 'Yoon Hyun Min', 'Park Se Young', 'Heo Joon Ho', 'Kim Jong Soo']","['Kocowa', 'Viki']",A Beautiful Mind,N/A,N/A,N/A
"['romance', 'drama', 'family', 'melodrama']","['wrongfully accused', 'soap opera', 'revenge', 'riches to rags ']",South Korea,100,"May  4, 2015","Oct 22, 2015","['monday', 'tuesday', 'wednesday', 'thursday']",['tvN'],50,7.2,86,53309,9732,Not Yet Rated,623,"['Oh Hyun Kyung', 'Hong Ah Reum', 'Kang Ji Sub', 'Kim Yoo Suk', 'Ahn Jae Min', 'Baek Seung Hee']",[],A Bird That Doesn't Sing,N/A,N/A,N/A
"['comedy', 'romance', 'family', 'melodrama']","['death of a wife', 'widower male lead', 'cold female lead', 'single father', 'warm man/cold woman', 'independent female lead', 'hardworking female lead', 'strict father', 'selfish mother', 'supportive father-in-law ']",South Korea,120,"May 18, 2015","Nov  6, 2015","['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",['MBC'],35,7.5,380,5734,5803,15+ - Teens 15 or older,"1,521","['Lee Soo Kyung', 'Woo Hee Jin', 'Kim Hye Ok', 'Kang Kyung Joon', 'Jung Hye Sung', 'Kang Tae Sung']",[],A Daughter Just Like You,6.8,20,
"['comedy', 'romance', 'drama', 'melodrama']","['adult romance', 'bromance', 'friendship', 'age gap [drama life]', 'age gap [real life]', 'male centered plot', 'dissociative amnesia', 'independent female lead', 'mental illness', 'love at first sight ']",South Korea,20,"May 26, 2012","Aug 12, 2012","['saturday', 'sunday']",['SBS'],65,8.2,16342,1207,351,15+ - Teens 15 or older,"32,001","['Jang Dong Gun', 'Kim Ha Neul', 'Kim Soo Ro', 'Kim Min Jong', 'Lee Jong Hyuk', 'Yoon Se Ah']","['iQIYI', 'Viki', 'Kocowa']",A Gentleman's Dignity,8,"1,454",
"['mystery', 'romance', 'supernatural']","['amnesia', 'tragic past', 'nice male lead', 'prosopagnosia', 'female chases male first', 'synesthesia', 'orphan female lead', 'strong female lead', 'murder', 'first love ']",South Korea,16,"Apr  1, 2015","May 21, 2015","['wednesday', 'thursday']",['SBS'],60,7.9,22154,2850,206,15+ - Teens 15 or older,"44,811","['Park Yoo Chun', 'Shin Sae Kyeong', 'Namkoong Min', 'Yoon Jin Seo', 'Song Jong Ho', 'Lee Won Jong']","['Viki', 'Netflix', 'Kocowa']",A Girl Who Sees Smells,N/A,N/A,N/A
"['comedy', 'romance', 'fantasy', 'supernatural']","['workplace setting', 'animal transformation', 'uncle-nephew relationship', 'transfer student supporting character', 'student supporting character', 'school setting', 'cynophobia', ""co-workers' relationship"", 'teacher supporting character', 'teacher female lead ']",South Korea,14,N/A,N/A,N/A,['MBC'],70,N/A,N/A,36749,1432,Not Yet Rated,"9,707","['Cha Eun Woo', 'Park Gyu Young', 'Lee Hyun Woo', 'Yoon Hyun Soo', 'Ryu Abel', 'Cho Jin Se']",['Viki'],A Good Day to Be a Dog,N/A,N/A,N/A
"['romance', 'drama', 'melodrama']","['family relationship', 'love triangle ']",South Korea,58,"Jan  6, 2007","Jul 22, 2007","['saturday', 'sunday']",['KBS2'],60,6.7,32,60497,99999,15+ - Teens 15 or older,191,"['Kim Suk Hoon', 'Yoon Jung Hee', 'Jung Gyu Woon', 'Park Sung Woong', 'Joo Hyun', 'Kim Yoon Kyung']",[],A Happy  Woman,N/A,N/A,N/A
"['romance', 'drama', 'family']","['soap opera', 'food ']",South Korea,50,"Jan  5, 2013","Jun 23, 2013","['saturday', 'sunday']",['MBC'],80,7.2,1561,7730,3270,15+ - Teens 15 or older,"3,588","['Eugene', 'Lee Jung Jin', 'Yoon Ah Jung', 'Choi Won Young', 'Kim Myung Soo', 'Jung Hye Sun']","['Kocowa', 'Viki']",A Hundred Year Legacy,N/A,N/A,N/A
"['horror', 'comedy', 'romance', 'fantasy']","['ghost-seeing female lead', 'supernatural power', 'demon', 'steamy kiss', 'aggressive male lead', 'ghost', 'tough male lead', 'love/hate relationship', 'bromance', 'eccentric male lead ']",South Korea,20,"Dec 23, 2017","Mar  4, 2018","['saturday', 'sunday']","['Netflix', 'tvN']",80,8.2,40966,1264,56,15+ - Teens 15 or older,"86,158","['Lee Seung Gi', 'Cha Seung Won', 'Oh Yeon Seo', 'Lee Hong Ki', 'Jang Gwang', 'Lee El']","['Viki', 'Netflix', 'Apple TV']",A Korean Odyssey,8,"5,710",
"['romance', 'drama', 'family']",[''],South Korea,50,"Sep 28, 2013","Mar 30, 2014","['saturday', 'sunday']",['MBC'],65,6.9,351,8626,5823,15+ - Teens 15 or older,"1,512","['Lee Sang Yeob', 'Shin Da Eun', 'Seo Ji Suk', 'Hong Soo Hyun', 'Choi Soo Rin', 'Kang  Suk Woo']",[],A Little Love Never Hurts,N/A,N/A,N/A
