kdrama_name,actor
"['historical', 'comedy', 'romance', 'drama']",Doh Kyung Soo
"['historical', 'comedy', 'romance', 'drama']", Nam Ji Hyun
"['historical', 'comedy', 'romance', 'drama']", Kim Seon Ho
"['historical', 'comedy', 'romance', 'drama']", Han So Hee
"['historical', 'comedy', 'romance', 'drama']", Jo Sung Ha
"['historical', 'comedy', 'romance', 'drama']", Kim Jae Young
"['comedy', 'romance', 'life']",Ohn Joo Wan
"['comedy', 'romance', 'life']", Yoon Jin Seo
"['comedy', 'romance', 'life']", Lee Yong Woo
"['comedy', 'romance', 'life']", Bae Geu Rin
"['comedy', 'romance', 'life']", Go Joon Hee
"['comedy', 'romance', 'life']", Kim Sung  Je
"['food', 'romance', 'drama']",Lee So Yeon
"['food', 'romance', 'drama']", Namkoong Min
"['food', 'romance', 'drama']", Lee Tae Im
"['food', 'romance', 'drama']", Park Hae Mi
"['food', 'romance', 'drama']", Shin Dong Mi
"['food', 'romance', 'drama']", Song Young Kyu
"['romance', 'life', 'drama', 'fantasy']",Yoon Sang Hyun
"['romance', 'life', 'drama', 'fantasy']", Lee Do Hyun
"['romance', 'life', 'drama', 'fantasy']", Kim Ha Neul
"['romance', 'life', 'drama', 'fantasy']", Roh Jeong Eui
"['romance', 'life', 'drama', 'fantasy']", Ryeoun
"['romance', 'life', 'drama', 'fantasy']", Wi Ha Joon
"['romance', 'youth']",Ryu In Young
"['thriller', 'mystery', 'drama', 'fantasy']",Lee Joon Hyuk
"['thriller', 'mystery', 'drama', 'fantasy']", Nam Ji Hyun
"['thriller', 'mystery', 'drama', 'fantasy']", Kim Jee Soo
"['thriller', 'mystery', 'drama', 'fantasy']", Lee Sung Wook
"['thriller', 'mystery', 'drama', 'fantasy']", Yoon Joo Sang
"['thriller', 'mystery', 'drama', 'fantasy']", Ahn Seung Gyun
"['food', 'romance', 'drama', 'family']",Han Ji Hye
"['food', 'romance', 'drama', 'family']", Ha Seok Jin
"['food', 'romance', 'drama', 'family']", Go Doo Shim
"['food', 'romance', 'drama', 'family']", Oh Hyun Kyung
"['food', 'romance', 'drama', 'family']", Ha Yeon Soo
"['food', 'romance', 'drama', 'family']", Byun Jung Soo
"['military', 'historical', 'life', 'drama', 'political']",Lee Deok Hwa
"['military', 'historical', 'life', 'drama', 'political']", Seo In Seok
"['military', 'historical', 'life', 'drama', 'political']", Kim Young Ran
"['military', 'historical', 'life', 'drama', 'political']", Song Ok Sook
"['military', 'historical', 'life', 'drama', 'political']", Jung Yoo Chan
"['military', 'historical', 'life', 'drama', 'political']", Park In Hwan
"['action', 'comedy', 'romance', 'crime']",Joo Won
"['action', 'comedy', 'romance', 'crime']", Choi Kang Hee
"['action', 'comedy', 'romance', 'crime']", Kim Min Seo
"['action', 'comedy', 'romance', 'crime']", Hwang Chan Sung
"['action', 'comedy', 'romance', 'crime']", Noh Young Hak
"['action', 'comedy', 'romance', 'crime']", Choi Jong Hwan
"['mystery', 'psychological', 'romance', 'medical']",Jang Hyuk
"['mystery', 'psychological', 'romance', 'medical']", Park So Dam
"['mystery', 'psychological', 'romance', 'medical']", Yoon Hyun Min
"['mystery', 'psychological', 'romance', 'medical']", Park Se Young
"['mystery', 'psychological', 'romance', 'medical']", Heo Joon Ho
"['mystery', 'psychological', 'romance', 'medical']", Kim Jong Soo
"['romance', 'drama', 'family', 'melodrama']",Oh Hyun Kyung
"['romance', 'drama', 'family', 'melodrama']", Hong Ah Reum
"['romance', 'drama', 'family', 'melodrama']", Kang Ji Sub
"['romance', 'drama', 'family', 'melodrama']", Kim Yoo Suk
"['romance', 'drama', 'family', 'melodrama']", Ahn Jae Min
"['romance', 'drama', 'family', 'melodrama']", Baek Seung Hee
"['comedy', 'romance', 'family', 'melodrama']",Lee Soo Kyung
"['comedy', 'romance', 'family', 'melodrama']", Woo Hee Jin
"['comedy', 'romance', 'family', 'melodrama']", Kim Hye Ok
"['comedy', 'romance', 'family', 'melodrama']", Kang Kyung Joon
"['comedy', 'romance', 'family', 'melodrama']", Jung Hye Sung
"['comedy', 'romance', 'family', 'melodrama']", Kang Tae Sung
"['comedy', 'romance', 'drama', 'melodrama']",Jang Dong Gun
"['comedy', 'romance', 'drama', 'melodrama']", Kim Ha Neul
"['comedy', 'romance', 'drama', 'melodrama']", Kim Soo Ro
"['comedy', 'romance', 'drama', 'melodrama']", Kim Min Jong
"['comedy', 'romance', 'drama', 'melodrama']", Lee Jong Hyuk
"['comedy', 'romance', 'drama', 'melodrama']", Yoon Se Ah
"['mystery', 'romance', 'supernatural']",Park Yoo Chun
"['mystery', 'romance', 'supernatural']", Shin Sae Kyeong
"['mystery', 'romance', 'supernatural']", Namkoong Min
"['mystery', 'romance', 'supernatural']", Yoon Jin Seo
"['mystery', 'romance', 'supernatural']", Song Jong Ho
