kdrama_name,day
"['historical', 'comedy', 'romance', 'drama']",tuesday
"['historical', 'comedy', 'romance', 'drama']", monday
"['comedy', 'romance', 'life']",wednesday
"['comedy', 'romance', 'life']", thursday
"['food', 'romance', 'drama']",saturday
"['food', 'romance', 'drama']", sunday
"['romance', 'life', 'drama', 'fantasy']",monday
"['romance', 'life', 'drama', 'fantasy']", tuesday
"['romance', 'youth']",NA
"['thriller', 'mystery', 'drama', 'fantasy']",monday
"['thriller', 'mystery', 'drama', 'fantasy']", tuesday
"['food', 'romance', 'drama', 'family']",saturday
"['food', 'romance', 'drama', 'family']", sunday
"['military', 'historical', 'life', 'drama', 'political']",saturday
"['military', 'historical', 'life', 'drama', 'political']", sunday
"['action', 'comedy', 'romance', 'crime']",wednesday
"['action', 'comedy', 'romance', 'crime']", thursday
"['mystery', 'psychological', 'romance', 'medical']",monday
"['mystery', 'psychological', 'romance', 'medical']", tuesday
"['romance', 'drama', 'family', 'melodrama']",monday
"['romance', 'drama', 'family', 'melodrama']", tuesday
"['romance', 'drama', 'family', 'melodrama']", wednesday
"['romance', 'drama', 'family', 'melodrama']", thursday
"['comedy', 'romance', 'family', 'melodrama']",monday
"['comedy', 'romance', 'family', 'melodrama']", tuesday
"['comedy', 'romance', 'family', 'melodrama']", wednesday
"['comedy', 'romance', 'family', 'melodrama']", thursday
"['comedy', 'romance', 'family', 'melodrama']", friday
"['comedy', 'romance', 'drama', 'melodrama']",saturday
"['comedy', 'romance', 'drama', 'melodrama']", sunday
"['mystery', 'romance', 'supernatural']",wednesday
"['mystery', 'romance', 'supernatural']", thursday
"['comedy', 'romance', 'fantasy', 'supernatural']",NA
"['romance', 'drama', 'melodrama']",saturday
"['romance', 'drama', 'melodrama']", sunday
"['romance', 'drama', 'family']",saturday
"['romance', 'drama', 'family']", sunday
"['horror', 'comedy', 'romance', 'fantasy']",saturday
"['horror', 'comedy', 'romance', 'fantasy']", sunday
"['romance', 'drama', 'family']",saturday
"['romance', 'drama', 'family']", sunday
"['comedy', 'romance', 'life', 'youth']",monday
"['comedy', 'romance', 'life', 'youth']", thursday
"['comedy', 'romance', 'life', 'youth']", saturday
"['thriller', 'mystery', 'crime', 'drama']",friday
"['business', 'law', 'drama']",wednesday
"['business', 'law', 'drama']", thursday
"['romance', 'life', 'drama', 'melodrama']",monday
"['romance', 'life', 'drama', 'melodrama']", tuesday
"['business', 'romance', 'drama', 'melodrama']",monday
"['business', 'romance', 'drama', 'melodrama']", tuesday
"['business', 'romance', 'drama', 'melodrama']", wednesday
"['business', 'romance', 'drama', 'melodrama']", thursday
"['business', 'romance', 'drama', 'melodrama']", friday
"['romance', 'life', 'family', 'melodrama']",saturday
"['romance', 'life', 'drama', 'medical']",monday
"['romance', 'life', 'drama', 'medical']", tuesday
"['psychological', 'romance', 'youth', 'drama']",tuesday
"['psychological', 'romance', 'youth', 'drama']", wednesday
"['thriller', 'mystery', 'psychological', 'drama']",sunday
"['romance', 'drama', 'family']",monday
"['romance', 'drama', 'family']", tuesday
"['romance', 'drama', 'family']", wednesday
"['romance', 'drama', 'family']", thursday
"['romance', 'drama', 'family']", friday
"['romance', 'melodrama']",monday
"['romance', 'melodrama']", tuesday
"['romance', 'drama', 'family']",saturday
"['romance', 'drama', 'family']", sunday
"['thriller', 'mystery', 'romance', 'fantasy']",friday
"['business', 'comedy', 'romance']",monday
"['business', 'comedy', 'romance']", tuesday
"['comedy', 'romance', 'life', 'youth']",wednesday
"['comedy', 'romance', 'life', 'youth']", sunday
"['comedy', 'romance', 'youth', 'drama']",thursday
"['comedy', 'romance', 'youth', 'drama']", sunday
"['music', 'romance', 'fantasy', 'melodrama']",monday
"['music', 'romance', 'fantasy', 'melodrama']", tuesday
"['mystery', 'comedy', 'romance', 'fantasy']",monday
"['mystery', 'comedy', 'romance', 'fantasy']", tuesday
"['business', 'comedy', 'romance', 'drama']",monday
"['business', 'comedy', 'romance', 'drama']", tuesday
"['thriller', 'mystery', 'drama']",wednesday
"['thriller', 'mystery', 'drama']", thursday
"['comedy', 'romance', 'youth']",friday
['romance'],monday
['romance'], friday
"['action', 'thriller', 'mystery', 'supernatural']",NA
"['mystery', 'law', 'drama', 'fantasy']",friday
"['mystery', 'law', 'drama', 'fantasy']", saturday
"['military', 'historical', 'drama', 'political']",saturday
"['military', 'historical', 'drama', 'political']", sunday
"['business', 'life', 'drama']",saturday
"['business', 'life', 'drama']", sunday
"['action', 'romance', 'drama']",saturday
"['action', 'romance', 'drama']", sunday
"['action', 'historical', 'romance', 'fantasy']",saturday
"['action', 'historical', 'romance', 'fantasy']", sunday
"['mystery', 'sci-fi', 'fantasy', 'melodrama']",friday
"['mystery', 'sci-fi', 'fantasy', 'melodrama']", saturday
"['comedy', 'romance', 'political']",wednesday
"['comedy', 'romance', 'political']", thursday
"['romance', 'drama', 'family', 'melodrama']",saturday
"['romance', 'drama', 'family', 'melodrama']", sunday
"['comedy', 'romance', 'political']",wednesday
"['comedy', 'romance', 'political']", thursday
"['romance', 'crime', 'drama', 'melodrama']",wednesday
"['romance', 'crime', 'drama', 'melodrama']", thursday
['romance'],monday
['romance'], tuesday
"['action', 'thriller', 'horror', 'sci-fi']",friday
"['romance', 'youth']",friday
"['comedy', 'romance', 'life', 'drama']",monday
"['comedy', 'romance', 'life', 'drama']", tuesday
"['adventure', 'life', 'fantasy', 'melodrama']",tuesday
"['romance', 'drama']",monday
"['romance', 'drama']", tuesday
"['romance', 'drama']", wednesday
"['romance', 'drama']", thursday
"['romance', 'drama']", friday
"['comedy', 'romance', 'youth', 'melodrama']",sunday
"['historical', 'mystery']",thursday
"['romance', 'medical', 'melodrama']",saturday
"['romance', 'medical', 'melodrama']", sunday
"['romance', 'drama']",monday
"['romance', 'drama']", tuesday
"['romance', 'drama']", wednesday
"['romance', 'drama']", thursday
"['romance', 'drama']", friday
"['comedy', 'romance', 'drama', 'fantasy']",wednesday
"['comedy', 'romance', 'drama', 'fantasy']", thursday
"['romance', 'drama', 'melodrama']",monday
"['romance', 'drama', 'melodrama']", tuesday
"['romance', 'drama', 'melodrama']", wednesday
"['romance', 'drama', 'melodrama']", thursday
"['romance', 'drama', 'melodrama']", friday
"['comedy', 'drama', 'melodrama']",wednesday
"['comedy', 'drama', 'melodrama']", thursday
"['thriller', 'drama']",friday
"['comedy', 'romance', 'melodrama', 'supernatural']",monday
"['comedy', 'romance', 'melodrama', 'supernatural']", tuesday
"['comedy', 'romance', 'life', 'drama']",thursday
"['romance', 'drama']",monday
"['romance', 'drama']", tuesday
"['romance', 'drama']", wednesday
"['romance', 'drama']", thursday
"['romance', 'drama']", friday
"['romance', 'drama', 'melodrama']",wednesday
"['romance', 'drama', 'melodrama']", thursday
"['historical', 'comedy', 'romance', 'supernatural']",wednesday
"['historical', 'comedy', 'romance', 'supernatural']", thursday
"['comedy', 'romance', 'sci-fi', 'fantasy']",monday
"['comedy', 'romance', 'sci-fi', 'fantasy']", tuesday
"['mystery', 'drama', 'political']",monday
"['mystery', 'drama', 'political']", tuesday
"['historical', 'romance', 'fantasy', 'political']",saturday
"['historical', 'romance', 'fantasy', 'political']", sunday
"['thriller', 'mystery', 'psychological', 'drama']",wednesday
"['thriller', 'mystery', 'psychological', 'drama']", thursday
"['comedy', 'romance', 'sci-fi']",NA
"['action', 'romance', 'drama', 'sports']",wednesday
"['action', 'romance', 'drama', 'sports']", thursday
"['law', 'drama', 'political']",wednesday
"['law', 'drama', 'political']", thursday
"['comedy', 'romance', 'life', 'drama']",monday
