kdrama_name,genre
"['historical', 'comedy', 'romance', 'drama']",amnesia
"['historical', 'comedy', 'romance', 'drama']", hidden identity
"['historical', 'comedy', 'romance', 'drama']", marriage of convenience
"['historical', 'comedy', 'romance', 'drama']", joseon dynasty
"['historical', 'comedy', 'romance', 'drama']", fake marriage
"['historical', 'comedy', 'romance', 'drama']", eccentric male lead
"['historical', 'comedy', 'romance', 'drama']", hardworking female lead
"['historical', 'comedy', 'romance', 'drama']", double identity
"['historical', 'comedy', 'romance', 'drama']", strong female lead
"['historical', 'comedy', 'romance', 'drama']", riches to rags 
"['comedy', 'romance', 'life']",writer female lead 
"['food', 'romance', 'drama']",unexpected pregnancy
"['food', 'romance', 'drama']", miscarriage
"['food', 'romance', 'drama']", teenage pregnancy
"['food', 'romance', 'drama']", pregnancy
"['food', 'romance', 'drama']", high school to working life
"['food', 'romance', 'drama']", rags to riches
"['food', 'romance', 'drama']", high school
"['food', 'romance', 'drama']", rich male lead
"['food', 'romance', 'drama']", first love
"['food', 'romance', 'drama']", student female lead 
"['romance', 'life', 'drama', 'fantasy']",second chance
"['romance', 'life', 'drama', 'fantasy']", first love
"['romance', 'life', 'drama', 'fantasy']", fatherson relationship
"['romance', 'life', 'drama', 'fantasy']", hardworking female lead
"['romance', 'life', 'drama', 'fantasy']", fatherdaughter relationship
"['romance', 'life', 'drama', 'fantasy']", motherdaughter relationship
"['romance', 'life', 'drama', 'fantasy']", life lesson
"['romance', 'life', 'drama', 'fantasy']", becoming young
"['romance', 'life', 'drama', 'fantasy']", hidden identity
"['romance', 'life', 'drama', 'fantasy']", character development 
"['romance', 'youth']",miniseries
"['romance', 'youth']", web series 
"['thriller', 'mystery', 'drama', 'fantasy']",strong female lead
"['thriller', 'mystery', 'drama', 'fantasy']", time travel
"['thriller', 'mystery', 'drama', 'fantasy']", nice male lead
"['thriller', 'mystery', 'drama', 'fantasy']", suspense
"['thriller', 'mystery', 'drama', 'fantasy']", murder
"['thriller', 'mystery', 'drama', 'fantasy']", fate
"['thriller', 'mystery', 'drama', 'fantasy']", supernatural
"['thriller', 'mystery', 'drama', 'fantasy']", lying
"['thriller', 'mystery', 'drama', 'fantasy']", bromance
"['thriller', 'mystery', 'drama', 'fantasy']", strong male lead 
"['food', 'romance', 'drama', 'family']",hardworking female lead
"['food', 'romance', 'drama', 'family']", wrongfully accused
"['food', 'romance', 'drama', 'family']", corruption
"['food', 'romance', 'drama', 'family']", cohabitation
"['food', 'romance', 'drama', 'family']", poor female lead
"['food', 'romance', 'drama', 'family']", prison setting
"['food', 'romance', 'drama', 'family']", manager supporting character
"['food', 'romance', 'drama', 'family']", studentteacher relationship 
"['military', 'historical', 'life', 'drama', 'political']",massacre
"['military', 'historical', 'life', 'drama', 'political']", gwangju uprising
"['military', 'historical', 'life', 'drama', 'political']", death
"['military', 'historical', 'life', 'drama', 'political']", based on true story 
"['action', 'comedy', 'romance', 'crime']",spy female lead
"['action', 'comedy', 'romance', 'crime']", spy male lead
"['action', 'comedy', 'romance', 'crime']", national intelligence service
"['action', 'comedy', 'romance', 'crime']", rivals to lovers
"['action', 'comedy', 'romance', 'crime']", second chance
"['action', 'comedy', 'romance', 'crime']", espionage
"['action', 'comedy', 'romance', 'crime']", rich male lead 
"['mystery', 'psychological', 'romance', 'medical']",antisocial personality disorder
"['mystery', 'psychological', 'romance', 'medical']", eccentric male lead
"['mystery', 'psychological', 'romance', 'medical']", fatherson relationship
"['mystery', 'psychological', 'romance', 'medical']", surgeon male lead
"['mystery', 'psychological', 'romance', 'medical']", emotional blunting
"['mystery', 'psychological', 'romance', 'medical']", investigation
"['mystery', 'psychological', 'romance', 'medical']", hospital setting
"['mystery', 'psychological', 'romance', 'medical']", cold manwarm woman
"['mystery', 'psychological', 'romance', 'medical']", slow burn romance
"['mystery', 'psychological', 'romance', 'medical']", character development 
"['romance', 'drama', 'family', 'melodrama']",wrongfully accused
"['romance', 'drama', 'family', 'melodrama']", soap opera
"['romance', 'drama', 'family', 'melodrama']", revenge
"['romance', 'drama', 'family', 'melodrama']", riches to rags 
"['comedy', 'romance', 'family', 'melodrama']",death of a wife
"['comedy', 'romance', 'family', 'melodrama']", widower male lead
"['comedy', 'romance', 'family', 'melodrama']", cold female lead
"['comedy', 'romance', 'family', 'melodrama']", single father
"['comedy', 'romance', 'family', 'melodrama']", warm mancold woman
"['comedy', 'romance', 'family', 'melodrama']", independent female lead
"['comedy', 'romance', 'family', 'melodrama']", hardworking female lead
"['comedy', 'romance', 'family', 'melodrama']", strict father
"['comedy', 'romance', 'family', 'melodrama']", selfish mother
"['comedy', 'romance', 'family', 'melodrama']", supportive fatherinlaw 
"['comedy', 'romance', 'drama', 'melodrama']",adult romance
"['comedy', 'romance', 'drama', 'melodrama']", bromance
"['comedy', 'romance', 'drama', 'melodrama']", friendship
"['comedy', 'romance', 'drama', 'melodrama']", age gap drama life
"['comedy', 'romance', 'drama', 'melodrama']", age gap real life
"['comedy', 'romance', 'drama', 'melodrama']", male centered plot
"['comedy', 'romance', 'drama', 'melodrama']", dissociative amnesia
"['comedy', 'romance', 'drama', 'melodrama']", independent female lead
"['comedy', 'romance', 'drama', 'melodrama']", mental illness
"['comedy', 'romance', 'drama', 'melodrama']", love at first sight 
"['mystery', 'romance', 'supernatural']",amnesia
"['mystery', 'romance', 'supernatural']", tragic past
"['mystery', 'romance', 'supernatural']", nice male lead
"['mystery', 'romance', 'supernatural']", prosopagnosia
"['mystery', 'romance', 'supernatural']", female chases male first
"['mystery', 'romance', 'supernatural']", synesthesia
"['mystery', 'romance', 'supernatural']", orphan female lead
"['mystery', 'romance', 'supernatural']", strong female lead
"['mystery', 'romance', 'supernatural']", murder
"['mystery', 'romance', 'supernatural']", first love 
"['comedy', 'romance', 'fantasy', 'supernatural']",workplace setting
"['comedy', 'romance', 'fantasy', 'supernatural']", animal transformation
"['comedy', 'romance', 'fantasy', 'supernatural']", unclenephew relationship
"['comedy', 'romance', 'fantasy', 'supernatural']", transfer student supporting character
"['comedy', 'romance', 'fantasy', 'supernatural']", student supporting character
"['comedy', 'romance', 'fantasy', 'supernatural']", school setting
"['comedy', 'romance', 'fantasy', 'supernatural']", cynophobia
"['comedy', 'romance', 'fantasy', 'supernatural']", coworkers relationship
"['comedy', 'romance', 'fantasy', 'supernatural']", teacher supporting character
"['comedy', 'romance', 'fantasy', 'supernatural']", teacher female lead 
"['romance', 'drama', 'melodrama']",family relationship
"['romance', 'drama', 'melodrama']", love triangle 
"['romance', 'drama', 'family']",soap opera
"['romance', 'drama', 'family']", food 
"['horror', 'comedy', 'romance', 'fantasy']",ghostseeing female lead
"['horror', 'comedy', 'romance', 'fantasy']", supernatural power
"['horror', 'comedy', 'romance', 'fantasy']", demon
"['horror', 'comedy', 'romance', 'fantasy']", steamy kiss
"['horror', 'comedy', 'romance', 'fantasy']", aggressive male lead
"['horror', 'comedy', 'romance', 'fantasy']", ghost
"['horror', 'comedy', 'romance', 'fantasy']", tough male lead
"['horror', 'comedy', 'romance', 'fantasy']", lovehate relationship
"['horror', 'comedy', 'romance', 'fantasy']", bromance
"['horror', 'comedy', 'romance', 'fantasy']", eccentric male lead 
"['romance', 'drama', 'family']",
"['comedy', 'romance', 'life', 'youth']",unrequited love
"['comedy', 'romance', 'life', 'youth']", first love
"['comedy', 'romance', 'life', 'youth']", doctor male lead
"['comedy', 'romance', 'life', 'youth']", height difference
"['comedy', 'romance', 'life', 'youth']", bright female lead
"['comedy', 'romance', 'life', 'youth']", female chases male first
"['comedy', 'romance', 'life', 'youth']", love triangle
"['comedy', 'romance', 'life', 'youth']", smart male lead
"['comedy', 'romance', 'life', 'youth']", high school
"['comedy', 'romance', 'life', 'youth']", cold manwarm woman 
"['thriller', 'mystery', 'crime', 'drama']",investigation
"['thriller', 'mystery', 'crime', 'drama']", suspense
"['thriller', 'mystery', 'crime', 'drama']", professor male lead
"['thriller', 'mystery', 'crime', 'drama']", gun violence
"['thriller', 'mystery', 'crime', 'drama']", drug usage
"['thriller', 'mystery', 'crime', 'drama']", financial scandal
"['thriller', 'mystery', 'crime', 'drama']", bankruptcy
"['thriller', 'mystery', 'crime', 'drama']", organized crime
"['thriller', 'mystery', 'crime', 'drama']", family relationship
"['thriller', 'mystery', 'crime', 'drama']", miniseries 
"['business', 'law', 'drama']",lawyer male lead
"['business', 'law', 'drama']", slight romance
"['business', 'law', 'drama']", fatherson relationship
"['business', 'law', 'drama']", corruption
"['business', 'law', 'drama']", amnesia 
"['romance', 'life', 'drama', 'melodrama']",healing
