kdrama_name,imdb_rating,imdb_users,imdb_description
"['historical', 'comedy', 'romance', 'drama']",100,7.8,"3,309"
"['comedy', 'romance', 'life']",12,N/A,N/A
"['food', 'romance', 'drama']",12,7.2,190
"['romance', 'life', 'drama', 'fantasy']",18,8.2,"2,666"
"['romance', 'youth']",1,N/A,N/A
"['thriller', 'mystery', 'drama', 'fantasy']",365,7.9,842
"['food', 'romance', 'drama', 'family']",4,N/A,N/A
"['military', 'historical', 'life', 'drama', 'political']",5,N/A,N/A
"['action', 'comedy', 'romance', 'crime']",7,6.2,154
"['mystery', 'psychological', 'romance', 'medical']",A Beautiful Mind,N/A,N/A
"['romance', 'drama', 'family', 'melodrama']",A Bird That Doesn't Sing,N/A,N/A
"['comedy', 'romance', 'family', 'melodrama']",A Daughter Just Like You,6.8,20
"['comedy', 'romance', 'drama', 'melodrama']",A Gentleman's Dignity,8,"1,454"
"['mystery', 'romance', 'supernatural']",A Girl Who Sees Smells,N/A,N/A
"['comedy', 'romance', 'fantasy', 'supernatural']",A Good Day to Be a Dog,N/A,N/A
"['romance', 'drama', 'melodrama']",A Happy  Woman,N/A,N/A
"['romance', 'drama', 'family']",A Hundred Year Legacy,N/A,N/A
"['horror', 'comedy', 'romance', 'fantasy']",A Korean Odyssey,8,"5,710"
"['romance', 'drama', 'family']",A Little Love Never Hurts,N/A,N/A
"['comedy', 'romance', 'life', 'youth']",A Love So Beautiful,7.3,"1,479"
"['thriller', 'mystery', 'crime', 'drama']",A Model Family,6.6,"1,320"
"['business', 'law', 'drama']",A New Leaf,6.3,86
"['romance', 'life', 'drama', 'melodrama']",A Piece of Your Mind,7.3,952
"['business', 'romance', 'drama', 'melodrama']",A Place in the Sun,6.8,17
"['romance', 'life', 'family', 'melodrama']",A Pledge to God,5.7,38
"['romance', 'life', 'drama', 'medical']",A Poem a Day,7.1,249
"['psychological', 'romance', 'youth', 'drama']",A Shoulder to Cry On,7.4,568
"['thriller', 'mystery', 'psychological', 'drama']",A Superior Day,N/A,N/A
"['romance', 'drama', 'family']",A Tale of Two Sisters,6.8,9
"['romance', 'melodrama']",A Thousand Days' Promise,8.2,94
"['romance', 'drama', 'family']",A Thousand Kisses,7.3,32
"['thriller', 'mystery', 'romance', 'fantasy']",A Time Called You,7.8,"1,730"
"['business', 'comedy', 'romance']",A Witch's Love,7.3,606
"['comedy', 'romance', 'life', 'youth']",A-Teen,7.6,272
"['comedy', 'romance', 'youth', 'drama']",2,N/A,N/A
"['music', 'romance', 'fantasy', 'melodrama']",About Time,6.9,701
"['mystery', 'comedy', 'romance', 'fantasy']",Abyss,7.1,"3,192"
"['business', 'comedy', 'romance', 'drama']",Ad Genius Lee Tae-baek,N/A,N/A
"['thriller', 'mystery', 'drama']",Adamas,7.1,735
"['comedy', 'romance', 'youth']",Adult Trainee,6.8,388
['romance'],"Aeja's Older Sister, Minja",N/A,N/A
"['action', 'thriller', 'mystery', 'supernatural']",Aftermath,6.3,54
"['mystery', 'law', 'drama', 'fantasy']",Again My Life,7.7,"1,367"
"['military', 'historical', 'drama', 'political']",Age of Warriors,N/A,N/A
"['business', 'life', 'drama']",Agency,7.8,429
"['action', 'romance', 'drama']",Air City,N/A,N/A
"['action', 'historical', 'romance', 'fantasy']",Alchemy of Souls,8.8,"13,656"
"['mystery', 'sci-fi', 'fantasy', 'melodrama']",Alice,N/A,N/A
"['comedy', 'romance', 'political']",All About Eve,8.2,20
"['romance', 'drama', 'family', 'melodrama']",All About My Mom,7.7,54
"['comedy', 'romance', 'political']",All About My Romance,7.4,93
"['romance', 'crime', 'drama', 'melodrama']",All In,7.8,413
['romance'],All My Love For You,N/A,N/A
"['action', 'thriller', 'horror', 'sci-fi']",All of Us Are Dead,7.5,"60,424"
"['romance', 'youth']",All That We Loved,N/A,N/A
"['comedy', 'romance', 'life', 'drama']",Alone in Love,8.6,282
"['adventure', 'life', 'fantasy', 'melodrama']",Amanza,N/A,N/A
"['romance', 'drama']",Amor Fati,N/A,N/A
"['comedy', 'romance', 'youth', 'melodrama']",Andante,6.5,251
"['historical', 'mystery']",Ang Shim Jung,N/A,N/A
"['romance', 'medical', 'melodrama']",Angel Eyes,7.3,487
"['romance', 'drama']",Angel's Choice,N/A,N/A
"['comedy', 'romance', 'drama', 'fantasy']",Angel's Last Mission: Love,7.7,"2,824"
"['romance', 'drama', 'melodrama']",Angel's Revenge,6.1,29
"['comedy', 'drama', 'melodrama']",Angry Mom,7.5,621
"['thriller', 'drama']",Anna,7.5,859
"['comedy', 'romance', 'melodrama', 'supernatural']",Another Miss Oh,7.8,"2,205"
"['comedy', 'romance', 'life', 'drama']",Another Peaceful Day of Second-Hand Items,N/A,N/A
"['romance', 'drama']",Apgujeong Midnight Sun,7.7,7
"['romance', 'drama', 'melodrama']",April Kiss,N/A,N/A
"['historical', 'comedy', 'romance', 'supernatural']",Arang and the Magistrate,N/A,N/A
"['comedy', 'romance', 'sci-fi', 'fantasy']",Are You Human?,N/A,N/A
"['mystery', 'drama', 'political']",Argon,7.3,315
"['historical', 'romance', 'fantasy', 'political']",Arthdal Chronicles,8.3,"5,277"
"['thriller', 'mystery', 'psychological', 'drama']",Artificial City,N/A,N/A
"['comedy', 'romance', 'sci-fi']",Ask the Stars,N/A,N/A
"['action', 'romance', 'drama', 'sports']",Asphalt Man,N/A,N/A
"['law', 'drama', 'political']",Assembly,7.3,35
"['comedy', 'romance', 'life', 'drama']",At Eighteen,N/A,N/A
"['romance', 'life', 'youth']","At a Distance, Spring Is Green",7.8,"1,025"
"['drama', 'melodrama']",Autumn Shower,7.1,9
"['comedy', 'life', 'drama']",Avengers Social Club,8.1,221
"['thriller', 'mystery', 'crime', 'fantasy']",Awaken,7.5,971
"['mystery', 'business', 'law', 'romance']",Babel,6.5,62
"['business', 'comedy', 'romance']",Baby Faced Beauty,6.7,115
"['thriller', 'mystery', 'drama']",Babysitter,N/A,N/A
"['comedy', 'romance', 'drama', 'melodrama']",Bachelor's Vegetable Store,7.7,93
"['action', 'business', 'comedy', 'romance']",Backstreet Rookie,7.5,"3,872"
"['action', 'thriller', 'mystery', 'comedy']",Bad and Crazy,8,"3,559"
"['action', 'mystery', 'crime', 'political']",Bad Guy,N/A,N/A
"['action', 'thriller', 'psychological', 'crime']",Bad Guys,7.8,"1,785"
"['action', 'mystery', 'crime', 'political']",2,N/A,N/A
"['comedy', 'romance', 'drama']",Bad Housewife,7.7,9
"['adventure', 'romance', 'drama', 'sports']",Bad Papa,7.2,142
"['action', 'mystery', 'comedy', 'law']",Bad Prosecutor,7.5,998
"['thriller', 'comedy', 'law', 'romance']","Bad Thief, Good Thief",8.2,101
['drama'],"Bad Woman, Good Woman",N/A,N/A
"['historical', 'romance']",Ballad of Seodong,N/A,N/A
"['romance', 'drama', 'melodrama']",Band of Sisters,8.3,35
"['romance', 'drama']",Banjun Drama,N/A,N/A
"['historical', 'romance', 'drama', 'sports']",Basketball,5.3,30
