kdrama_name,episodes,start_airing,end_airing,duration,score,scored_by,ranked,popularity,content_rating,watchers
100 Days My Prince,16,2018-09-10,2018-10-30,75.0,8.3,26483.0,906,140,15+ - Teens 15 or older,56458
12 Signs of Love,16,2012-02-15,2012-04-05,65.0,7.0,907.0,8243,4110,Not Yet Rated,2588
12 Years Promise,26,2014-03-22,2014-06-29,70.0,7.2,2869.0,7779,2233,15+ - Teens 15 or older,5764
18 Again,16,2020-09-21,2020-11-10,70.0,8.7,28731.0,243,114,15+ - Teens 15 or older,63761
1st Republic,4,,,,,,99999,99999,Not Yet Rated,28
365: Repeat the Year,24,2020-03-23,2020-04-28,35.0,8.5,9016.0,448,491,15+ - Teens 15 or older,24960
4 Legendary Witches,40,2014-10-25,2015-03-08,64.0,7.7,1199.0,3716,3459,15+ - Teens 15 or older,3334
5th Republic,41,2005-04-23,2005-09-01,65.0,6.9,6.0,85193,99999,15+ - Teens 15 or older,99
7th Grade Civil Servant,20,2013-01-23,2013-03-28,65.0,6.9,4828.0,8738,1299,15+ - Teens 15 or older,10676
A Beautiful Mind,14,2016-06-20,2016-08-02,60.0,8.2,9937.0,1328,451,15+ - Teens 15 or older,26292
A Bird That Doesn't Sing,100,2015-05-04,2015-10-22,50.0,7.2,86.0,80505,9735,Not Yet Rated,623
A Daughter Just Like You,120,2015-05-18,2015-11-06,35.0,7.5,380.0,5735,5806,15+ - Teens 15 or older,1521
A Gentleman's Dignity,20,2012-05-26,2012-08-12,65.0,8.2,16344.0,1209,352,15+ - Teens 15 or older,32007
A Girl Who Sees Smells,16,2015-04-01,2015-05-21,60.0,7.9,22159.0,2850,206,15+ - Teens 15 or older,44825
A Good Day to Be a Dog,14,,,70.0,,,36772,1401,Not Yet Rated,9883
A Happy  Woman,58,2007-01-06,2007-07-22,60.0,6.7,32.0,87696,99999,15+ - Teens 15 or older,191
A Hundred Year Legacy,50,2013-01-05,2013-06-23,80.0,7.2,1562.0,7731,3275,15+ - Teens 15 or older,3588
A Korean Odyssey,20,2017-12-23,2018-03-04,80.0,8.2,40988.0,1267,56,15+ - Teens 15 or older,86215
A Little Love Never Hurts,50,2013-09-28,2014-03-30,65.0,6.9,351.0,8628,5826,15+ - Teens 15 or older,1512
A Love So Beautiful,24,2020-12-28,2021-02-20,20.0,7.8,17658.0,3668,341,13+ - Teens 13 or older,32698
A Model Family,10,,,45.0,7.5,1762.0,5745,2599,18+ Restricted (violence & profanity),4863
A New Leaf,16,2014-04-30,2014-06-26,60.0,6.7,1249.0,9018,3213,15+ - Teens 15 or older,3680
A Piece of Your Mind,12,2020-03-23,2020-04-28,71.0,8.1,11722.0,1584,353,15+ - Teens 15 or older,31958
A Place in the Sun,102,2019-06-03,2019-11-01,35.0,7.3,267.0,6742,5026,15+ - Teens 15 or older,1887
A Pledge to God,48,2018-11-24,2019-02-16,25.0,7.6,466.0,4710,4644,15+ - Teens 15 or older,2134
A Poem a Day,16,2018-03-26,2018-05-15,65.0,7.9,6560.0,2937,713,15+ - Teens 15 or older,18734
A Shoulder to Cry On,7,2023-03-15,2023-03-29,30.0,7.7,12235.0,4255,527,15+ - Teens 15 or older,23698
A Superior Day,8,2022-03-13,2022-05-01,60.0,7.0,1098.0,8478,2824,18+ Restricted (violence & profanity),4371
A Tale of Two Sisters,135,2013-04-29,2013-11-01,35.0,6.8,232.0,8859,8371,Not Yet Rated,825
A Thousand Days' Promise,20,2011-10-17,2011-12-20,65.0,7.6,1491.0,4852,2819,15+ - Teens 15 or older,4375
A Thousand Kisses,50,2011-08-20,2012-02-05,62.0,6.8,1519.0,8870,2867,G - All Ages,4261
A Time Called You,12,,,60.0,8.4,7197.0,659,513,15+ - Teens 15 or older,24127
A Witch's Love,16,2014-04-14,2014-06-10,60.0,7.9,12674.0,2506,416,15+ - Teens 15 or older,28099
A-Teen,24,2018-07-01,2018-09-16,10.0,8.1,11834.0,1878,495,13+ - Teens 13 or older,24821
A-Teen 2,20,2019-04-21,2019-06-27,15.0,8.0,7554.0,2274,899,15+ - Teens 15 or older,15579
About Time,16,2018-05-21,2018-07-10,70.0,7.5,10799.0,5936,405,15+ - Teens 15 or older,28548
Abyss,16,2019-05-06,2019-06-25,60.0,7.8,37123.0,3072,66,15+ - Teens 15 or older,82156
Ad Genius Lee Tae-baek,16,2013-02-04,2013-03-26,65.0,6.8,1352.0,8848,3395,Not Yet Rated,3412
Adamas,16,2022-07-27,2022-09-15,70.0,7.7,2653.0,4354,1320,15+ - Teens 15 or older,10440
Adult Trainee,7,2021-11-12,2021-11-26,40.0,7.8,9940.0,3203,651,Not Yet Rated,20398
"Aeja's Older Sister, Minja",140,2008-04-21,2008-10-31,40.0,7.6,18.0,73673,99999,Not Yet Rated,135
Aftermath,5,2014-01-06,2014-01-12,10.0,7.0,2806.0,8454,1979,13+ - Teens 13 or older,6680
Again My Life,16,2022-04-08,2022-05-28,65.0,8.3,8848.0,1075,515,15+ - Teens 15 or older,24094
Age of Warriors,158,2003-02-08,2004-08-15,60.0,7.4,22.0,78402,99999,Not Yet Rated,130
Agency,16,2023-01-07,2023-02-26,65.0,8.2,2211.0,1359,1893,Not Yet Rated,7024
Air City,16,2007-05-19,2007-07-08,60.0,7.0,374.0,8280,7393,15+ - Teens 15 or older,1024
Alchemy of Souls,20,2022-06-18,2022-08-28,80.0,9.1,41863.0,26,73,15+ - Teens 15 or older,79006
Alice,16,2020-08-28,2020-10-24,70.0,7.4,5778.0,6590,912,15+ - Teens 15 or older,15369
All About Eve,16,2013-04-04,2013-05-29,63.0,7.6,2031.0,5176,2303,15+ - Teens 15 or older,5542
All About My Mom,54,2015-08-15,2016-02-14,80.0,7.9,1509.0,2698,3247,Not Yet Rated,3619
All About My Romance,16,2013-04-04,2013-05-29,63.0,7.6,2031.0,5176,2303,15+ - Teens 15 or older,5542
All In,24,2003-01-15,2003-04-03,60.0,7.6,1056.0,4869,3533,15+ - Teens 15 or older,3228
