kdrama_name,tags
"['historical', 'comedy', 'romance', 'drama']",South Korea
"['comedy', 'romance', 'life']",South Korea
"['food', 'romance', 'drama']",South Korea
"['romance', 'life', 'drama', 'fantasy']",South Korea
"['romance', 'youth']",South Korea
"['thriller', 'mystery', 'drama', 'fantasy']",South Korea
"['food', 'romance', 'drama', 'family']",South Korea
"['military', 'historical', 'life', 'drama', 'political']",South Korea
"['action', 'comedy', 'romance', 'crime']",South Korea
"['mystery', 'psychological', 'romance', 'medical']",South Korea
"['romance', 'drama', 'family', 'melodrama']",South Korea
"['comedy', 'romance', 'family', 'melodrama']",South Korea
"['comedy', 'romance', 'drama', 'melodrama']",South Korea
"['mystery', 'romance', 'supernatural']",South Korea
"['comedy', 'romance', 'fantasy', 'supernatural']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['romance', 'drama', 'family']",South Korea
"['horror', 'comedy', 'romance', 'fantasy']",South Korea
"['romance', 'drama', 'family']",South Korea
"['comedy', 'romance', 'life', 'youth']",South Korea
"['thriller', 'mystery', 'crime', 'drama']",South Korea
"['business', 'law', 'drama']",South Korea
"['romance', 'life', 'drama', 'melodrama']",South Korea
"['business', 'romance', 'drama', 'melodrama']",South Korea
"['romance', 'life', 'family', 'melodrama']",South Korea
"['romance', 'life', 'drama', 'medical']",South Korea
"['psychological', 'romance', 'youth', 'drama']",South Korea
"['thriller', 'mystery', 'psychological', 'drama']",South Korea
"['romance', 'drama', 'family']",South Korea
"['romance', 'melodrama']",South Korea
"['romance', 'drama', 'family']",South Korea
"['thriller', 'mystery', 'romance', 'fantasy']",South Korea
"['business', 'comedy', 'romance']",South Korea
"['comedy', 'romance', 'life', 'youth']",South Korea
"['comedy', 'romance', 'youth', 'drama']",South Korea
"['music', 'romance', 'fantasy', 'melodrama']",South Korea
"['mystery', 'comedy', 'romance', 'fantasy']",South Korea
"['business', 'comedy', 'romance', 'drama']",South Korea
"['thriller', 'mystery', 'drama']",South Korea
"['comedy', 'romance', 'youth']",South Korea
['romance'],South Korea
"['action', 'thriller', 'mystery', 'supernatural']",South Korea
"['mystery', 'law', 'drama', 'fantasy']",South Korea
"['military', 'historical', 'drama', 'political']",South Korea
"['business', 'life', 'drama']",South Korea
"['action', 'romance', 'drama']",South Korea
"['action', 'historical', 'romance', 'fantasy']",South Korea
"['mystery', 'sci-fi', 'fantasy', 'melodrama']",South Korea
"['comedy', 'romance', 'political']",South Korea
"['romance', 'drama', 'family', 'melodrama']",South Korea
"['comedy', 'romance', 'political']",South Korea
"['romance', 'crime', 'drama', 'melodrama']",South Korea
['romance'],South Korea
"['action', 'thriller', 'horror', 'sci-fi']",South Korea
"['romance', 'youth']",South Korea
"['comedy', 'romance', 'life', 'drama']",South Korea
"['adventure', 'life', 'fantasy', 'melodrama']",South Korea
"['romance', 'drama']",South Korea
"['comedy', 'romance', 'youth', 'melodrama']",South Korea
"['historical', 'mystery']",South Korea
"['romance', 'medical', 'melodrama']",South Korea
"['romance', 'drama']",South Korea
"['comedy', 'romance', 'drama', 'fantasy']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['comedy', 'drama', 'melodrama']",South Korea
"['thriller', 'drama']",South Korea
"['comedy', 'romance', 'melodrama', 'supernatural']",South Korea
"['comedy', 'romance', 'life', 'drama']",South Korea
"['romance', 'drama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['historical', 'comedy', 'romance', 'supernatural']",South Korea
"['comedy', 'romance', 'sci-fi', 'fantasy']",South Korea
"['mystery', 'drama', 'political']",South Korea
"['historical', 'romance', 'fantasy', 'political']",South Korea
"['thriller', 'mystery', 'psychological', 'drama']",South Korea
"['comedy', 'romance', 'sci-fi']",South Korea
"['action', 'romance', 'drama', 'sports']",South Korea
"['law', 'drama', 'political']",South Korea
"['comedy', 'romance', 'life', 'drama']",South Korea
"['romance', 'life', 'youth']",South Korea
"['drama', 'melodrama']",South Korea
"['comedy', 'life', 'drama']",South Korea
"['thriller', 'mystery', 'crime', 'fantasy']",South Korea
"['mystery', 'business', 'law', 'romance']",South Korea
"['business', 'comedy', 'romance']",South Korea
"['thriller', 'mystery', 'drama']",South Korea
"['comedy', 'romance', 'drama', 'melodrama']",South Korea
"['action', 'business', 'comedy', 'romance']",South Korea
"['action', 'thriller', 'mystery', 'comedy']",South Korea
"['action', 'mystery', 'crime', 'political']",South Korea
"['action', 'thriller', 'psychological', 'crime']",South Korea
"['action', 'mystery', 'crime', 'political']",South Korea
