imdb_name,Genres,Tags,Episodes,start airing,end airing,Aired On,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers,actors,platforms,imdb_rating,imdb_user_count,imdb_description
Extraordinary Attorney Woo,"['law', 'romance', 'life', 'drama']","['autistic female lead', 'autism', 'attorney female lead', 'smart female lead', 'law firm', 'nice male lead', 'father-daughter relationship', 'courtroom setting', 'lawyer male lead', 'single mother/father supporting character ']",16,29-Jun-22,18-Aug-22,"['wednesday', 'thursday']",['Netflix'],77,9.2,8013,4,231,15+ - Teens 15 or older,"32,912","['Park Eun Bin', 'Kang Tae Oh', 'Kang Ki Young', 'Jeon Bae Soo', 'Baek Ji Won', 'Jin Kyung']",['Netflix'],9.1,"3,844","About an autistic 27-year-old lawyer. Due to her high IQ of 164, impressive memory, and creative thought process, the brilliant Woo Young Woo graduated at the top of her class from a prestigious law school."
Squid Game,"['action', 'thriller', 'mystery', 'drama']","['death game', 'death', 'poor male lead', 'extreme violence', 'debt', 'competition', 'gore', 'survival', 'murder', 'game show ']",9," Sep 17, 2021",N/A,['friday'],['Netflix'],60,8.5,62516,308,31,18+ Restricted (violence & profanity),"84,031","['Lee Jung Jae', 'Park Hae Soo', 'Jung Ho Yeon', 'Wi Ha Joon', 'Oh Young Soo', 'Anupam Tripathi']",['Netflix'],s 8,"429,820","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake."
Return,"['action', 'historical', 'romance', 'fantasy']","['spirit', 'master/disciple relationship', 'transmigration', 'multiple mains', 'strong female lead', 'age gap [real life]', 'kind male lead', 'birth secret', 'assassin female lead', 'magical power ']",20,18-Jun-22,28-Aug-22,"['saturday', 'sunday']","['Netflix', 'tvN']",80,8.9,5039,36,322,15+ - Teens 15 or older,"26,359","['Lee Jae Wook', 'Jung So Min', 'Hwang Min Hyun', 'Shin Seung Ho', 'Yoo  Joon Sang', 'Oh Na Ra']",['Netflix'],7.3,79,"Choi Ja-Hye is a lawyer and Dokgo Young is a detective with a hot temper,but they must work together to solve a murder case in which the suspects are children from the elite class."
All of Us Are Dead,"['action', 'thriller', 'horror', 'sci-fi']","['survival', 'zombies', 'death', 'gore', 'school', 'virus', 'slight romance', 'zombie apocalypse', 'high school', 'suspense ']",12," Jan 28, 2022",N/A,['friday'],['Netflix'],62,8.4,28259,395,149,18+ Restricted (violence & profanity),"43,498","['Park Ji Hoo', 'Yoon Chan Young', 'Jo Yi Hyun', 'Lomon', 'Yoo In Soo', 'Kim Byung Chul']",['Netflix'],7.5,"46,098",A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out or turn into one of the rabid infected.
A Model Family,"['thriller', 'mystery', 'crime', 'drama']","['investigation', 'suspense', 'professor male lead', 'gun violence', 'drug usage', 'bankruptcy', 'organized crime', 'secret', 'married couple', 'miniseries ']",10," Aug 12, 2022",N/A,['friday'],['Netflix'],43,7.7,284,3019,3816,18+ Restricted (violence & profanity),"2,080","['Jung Woo', 'Park Hee Soon ', 'Yoon Jin Seo', 'Park Ji Yeon', 'Kim Sung Oh', 'Kim Shin Bi']",['Netflix'],6.5,276,"After unwittingly stealing money from a cartel, a cash-strapped professor finds the only way to save his broken family is by working as a drug courier."
Pachinko,"['historical', 'romance', 'drama', 'melodrama']","['co-produced', 'discrimination', 'immigrant', 'adapted from a novel', 'abuse of power', 'racism', 'japanese colonial rule', 'world war 1', 'forbidden love', 'world war 2 ']",8,25-Mar-22,29-Apr-22,['friday'],N/A,54,8.4,2998,491,1057,15+ - Teens 15 or older,"9,623","['Kim Min Ha', 'Youn Yuh Jung', 'Jin Ha', 'Lee Min Ho', 'Jeon Yu Na', 'Park So Hee']",['Apple TV'],8.4,"7,285","Based on the New York Times bestseller, this sweeping saga chronicles the hopes and dreams of a Korean immigrant family across four generations as they leave their homeland in an indomitable quest to survive and thrive."
Big Mouth,"['thriller', 'mystery', 'law', 'drama']","['lawyer male lead', 'death', 'suspense', 'murder', 'brave female lead', 'investigation', 'assault', 'hardship', 'workplace abuse', 'greed ']",16,29-Jul-22,17-Sep-22,"['friday', 'saturday']",['MBC'],71,8.7,1915,110,518,15+ - Teens 15 or older,"18,599","['Lee Jong Suk', 'Im Yoon Ah', 'Kim Joo Heon', 'Kwak Dong Yeon', 'Yang Kyung Won', 'Ok Ja Yeon']",['Wavve'],8.2,506,Thriller about an unsuccessful lawyer who gets involved in a murder case and is somehow fingered as genius swindler Big Mouse.
Crash Landing on You,"['military', 'comedy', 'romance', 'political']","['north and south korea', 'star crossed lovers', 'strong male lead', 'rich female lead', 'north korean', 'fate', 'nice male lead', 'calm male lead', 'friendship', 'smart female lead ']",16,14-Dec-19,16-Feb-20,"['sunday', 'saturday']","['Netflix', 'tvN']",85,9,72296,31,9,15+ - Teens 15 or older,"127,111","['Hyun Bin', 'Son Ye Jin', 'Seo Ji Hye', 'Kim Jung Hyun', 'Yang Kyung Won', 'Lee Shin Young']",['Netflix'],8.7,"27,093",The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.
Kingdom,"['thriller', 'historical', 'horror', 'political']","['joseon dynasty', 'adapted from a webtoon', 'power struggle', 'gore', 'strong male lead', 'survival', 'nice male lead', 'corruption', 'zombies', 'strong female lead ']",6," Jan 25, 2019",N/A,['friday'],['Netflix'],51,8.8,27290,70,110,18+ Restricted (violence & profanity),"52,017","['Joo Ji Hoon', 'Ryu Seung Ryong', 'Bae Doo Na', 'Kim Sung Gyu', 'Kim Chan Yi', 'Kim  Sang Ho']",['Netflix'],8.3,"45,246","While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land."
True Beauty,"['comedy', 'romance', 'youth', 'drama']","['adapted from a webtoon', 'makeover', 'popular male lead', 'high school', 'beauty', 'hidden identity', 'beauty standards', 'love triangle', 'nice female lead', 'smart male lead ']",16,9-Dec-20,4-Feb-21,"['wednesday', 'thursday']",['tvN'],75,8.3,48603,577,28,15+ - Teens 15 or older,"87,831","['Moon Ga Young', 'Cha Eun Woo', 'Hwang In Youp', 'Park Yoo Na', 'Jang Hye Jin', 'Park Ho San']","['Viki', 'Apple TV']",s 8,"6,768","After being bullied and discriminated because of her ugly looks, a high school girl transforms herself into a gorgeous ""goddess"" and quickly rises to fame after mastering the art of makeup via online tutorial videos."
