kdrama_name,actor
Extraordinary Attorney Woo,Park Eun Bin
Extraordinary Attorney Woo, Kang Tae Oh
Extraordinary Attorney Woo, Kang Ki Young
Extraordinary Attorney Woo, Jeon Bae Soo
Extraordinary Attorney Woo, Baek Ji Won
Extraordinary Attorney Woo, Jin Kyung
Squid Game,Lee Jung Jae
Squid Game, Park Hae Soo
Squid Game, Jung Ho Yeon
Squid Game, Wi Ha Joon
Squid Game, Oh Young Soo
Squid Game, Anupam Tripathi
Return,Lee Jae Wook
Return, Jung So Min
Return, Hwang Min Hyun
Return, Shin Seung Ho
Return, Yoo  Joon Sang
Return, Oh Na Ra
All of Us Are Dead,Park Ji Hoo
All of Us Are Dead, Yoon Chan Young
All of Us Are Dead, Jo Yi Hyun
All of Us Are Dead, Lomon
All of Us Are Dead, Yoo In Soo
All of Us Are Dead, Kim Byung Chul
A Model Family,Jung Woo
A Model Family, Park Hee Soon 
A Model Family, Yoon Jin Seo
A Model Family, Park Ji Yeon
A Model Family, Kim Sung Oh
A Model Family, Kim Shin Bi
Pachinko,Kim Min Ha
Pachinko, Youn Yuh Jung
Pachinko, Jin Ha
Pachinko, Lee Min Ho
Pachinko, Jeon Yu Na
Pachinko, Park So Hee
Big Mouth,Lee Jong Suk
Big Mouth, Im Yoon Ah
Big Mouth, Kim Joo Heon
Big Mouth, Kwak Dong Yeon
Big Mouth, Yang Kyung Won
Big Mouth, Ok Ja Yeon
Crash Landing on You,Hyun Bin
Crash Landing on You, Son Ye Jin
Crash Landing on You, Seo Ji Hye
Crash Landing on You, Kim Jung Hyun
Crash Landing on You, Yang Kyung Won
Crash Landing on You, Lee Shin Young
Kingdom,Joo Ji Hoon
Kingdom, Ryu Seung Ryong
Kingdom, Bae Doo Na
Kingdom, Kim Sung Gyu
Kingdom, Kim Chan Yi
Kingdom, Kim  Sang Ho
True Beauty,Moon Ga Young
True Beauty, Cha Eun Woo
True Beauty, Hwang In Youp
True Beauty, Park Yoo Na
True Beauty, Jang Hye Jin
True Beauty, Park Ho San
Sweet Home,Kim So Yeon
Sweet Home, Lee Sang Woo
Sweet Home, Lee Pil Mo
Sweet Home, Kang Yi Eun
Sweet Home, Kim Yeong Cheol
Sweet Home, Won Mi Kyung
Sweet Home,Song Kang
Sweet Home, Lee Jin Wook
Sweet Home, Lee Si Young
Sweet Home, Lee Do Hyun
Sweet Home, Kim Nam Hee
Sweet Home, Go Min Si
The Office Blind Date,Ahn Hyo Seop
The Office Blind Date, Kim Se Jeong
The Office Blind Date, Kim Min Gue
The Office Blind Date, Seol In Ah
The Office Blind Date, Lee Deok Hwa
The Office Blind Date, Choi Byung Chan
Vincenzo,Song Joong Ki
Vincenzo, Jeon Yeo Been
Vincenzo, Ok Taec Yeon
Vincenzo, Kim Yeo Jin
Vincenzo, Jo Han Chul
Vincenzo, Kwak Dong Yeon
It's Okay to Not Be Okay,Kim Soo Hyun
