kdrama_name,day
Extraordinary Attorney Woo,wednesday
Extraordinary Attorney Woo, thursday
Squid Game,friday
Return,saturday
Return, sunday
All of Us Are Dead,friday
A Model Family,friday
Pachinko,friday
Big Mouth,friday
Big Mouth, saturday
Crash Landing on You,sunday
Crash Landing on You, saturday
Kingdom,friday
True Beauty,wednesday
True Beauty, thursday
Sweet Home,saturday
Sweet Home, sunday
Sweet Home,friday
The Office Blind Date,monday
The Office Blind Date, tuesday
Vincenzo,saturday
Vincenzo, sunday
It's Okay to Not Be Okay,saturday
It's Okay to Not Be Okay, sunday
Undercover,friday
The King's Affection,monday
The King's Affection, tuesday
Mouse,wednesday
Mouse, thursday
Hometown Cha-Cha-Cha,saturday
Hometown Cha-Cha-Cha, sunday
Remarriage & Desires,friday
Itaewon Class,friday
Itaewon Class, saturday
Descendants of the Sun,wednesday
Descendants of the Sun, thursday
What's Wrong with Secretary Kim,wednesday
What's Wrong with Secretary Kim, thursday
The Silent Sea,friday
Snowdrop,saturday
Snowdrop, sunday
Adamas,wednesday
Adamas, thursday
Hellbound,friday
Tomorrow,friday
Tomorrow, saturday
Tomorrow,friday
Tomorrow, saturday
Backstreet Rookie,friday
Backstreet Rookie, saturday
Mr. Sunshine,saturday
Mr. Sunshine, sunday
Start-Up,saturday
Start-Up, sunday
Flower of Evil,wednesday
Flower of Evil, thursday
Our Blues,saturday
Our Blues, sunday
Nevertheless,saturday
Run On,wednesday
Run On, thursday
Our Beloved Summer,monday
Our Beloved Summer, tuesday
Stranger,saturday
Stranger, sunday
Doom at Your Service,monday
Doom at Your Service, tuesday
Hotel Del Luna,saturday
Hotel Del Luna, sunday
Strong Girl Bong-soon,friday
Strong Girl Bong-soon, saturday
Happiness,friday
Happiness, saturday
The Uncanny Counter,saturday
The Uncanny Counter, sunday
W,wednesday
W, thursday
Vagabond,friday
Vagabond, saturday
The K2,friday
The K2, saturday
Eve,wednesday
Eve, thursday
She Would Never Know,monday
She Would Never Know, tuesday
Tell Me Your Wish,wednesday
Tell Me Your Wish, thursday
Tell Me Your Wish,monday
Tell Me Your Wish, tuesday
Tell Me Your Wish, wednesday
Tell Me Your Wish, thursday
Tell Me Your Wish, friday
Why Her,friday
Why Her, saturday
While You Were Sleeping,monday
While You Were Sleeping, tuesday
While You Were Sleeping, wednesday
While You Were Sleeping, thursday
While You Were Sleeping, friday
Tale of the Nine Tailed,wednesday
Tale of the Nine Tailed, thursday
Extraordinary You,wednesday
Extraordinary You, thursday
Reply 1988,friday
Reply 1988, saturday
Hospital Playlist,thursday
Boys Over Flowers,monday
Boys Over Flowers, tuesday
My Mister,wednesday
My Mister, thursday
Sell Your Haunted House,wednesday
Sell Your Haunted House, thursday
Because This Is My First Life,monday
Because This Is My First Life, tuesday
Monster,friday
Monster, saturday
Today's Webtoon,friday
Today's Webtoon, saturday
Taxi Driver,friday
Taxi Driver, saturday
The Empress Ki,monday
The Empress Ki, tuesday
My Liberation Diary,saturday
My Liberation Diary, sunday
My Liberation Diary,saturday
My Liberation Diary, sunday
The Sound of Magic,friday
Something in the Rain,friday
Something in the Rain, saturday
My Roommate Is a Gumiho,wednesday
My Roommate Is a Gumiho, thursday
My Love from Another Star,wednesday
My Love from Another Star, thursday
Star's Lover,wednesday
Star's Lover, thursday
