kdrama_name,genre
Extraordinary Attorney Woo,law
Extraordinary Attorney Woo,romance
Extraordinary Attorney Woo,life
Extraordinary Attorney Woo,drama
Squid Game,action
Squid Game,thriller
Squid Game,mystery
Squid Game,drama
Return,action
Return,historical
Return,romance
Return,fantasy
All of Us Are Dead,action
All of Us Are Dead,thriller
All of Us Are Dead,horror
All of Us Are Dead,scifi
A Model Family,thriller
A Model Family,mystery
A Model Family,crime
A Model Family,drama
Pachinko,historical
Pachinko,romance
Pachinko,drama
Pachinko,melodrama
Big Mouth,thriller
Big Mouth,mystery
Big Mouth,law
Big Mouth,drama
Crash Landing on You,military
Crash Landing on You,comedy
Crash Landing on You,romance
Crash Landing on You,political
Kingdom,thriller
Kingdom,historical
Kingdom,horror
Kingdom,political
True Beauty,comedy
True Beauty,romance
True Beauty,youth
True Beauty,drama
Sweet Home,romance
Sweet Home,drama
Sweet Home,melodrama
Sweet Home,horror
Sweet Home,drama
Sweet Home,scifi
Sweet Home,supernatural
The Office Blind Date,comedy
The Office Blind Date,romance
The Office Blind Date,drama
Vincenzo,comedy
Vincenzo,law
Vincenzo,crime
Vincenzo,drama
It's Okay to Not Be Okay,psychological
It's Okay to Not Be Okay,comedy
It's Okay to Not Be Okay,romance
It's Okay to Not Be Okay,drama
Undercover,action
Undercover,thriller
Undercover,mystery
Undercover,crime
The King's Affection,historical
The King's Affection,romance
The King's Affection,drama
Mouse,thriller
Mouse,mystery
Mouse,psychological
Mouse,scifi
Hometown Cha-Cha-Cha,comedy
Hometown Cha-Cha-Cha,romance
Hometown Cha-Cha-Cha,life
Hometown Cha-Cha-Cha,drama
Remarriage & Desires,drama
Remarriage & Desires,melodrama
Itaewon Class,business
Itaewon Class,romance
Itaewon Class,life
Itaewon Class,drama
Descendants of the Sun,action
Descendants of the Sun,comedy
Descendants of the Sun,romance
Descendants of the Sun,melodrama
What's Wrong with Secretary Kim,friendship
What's Wrong with Secretary Kim,business
What's Wrong with Secretary Kim,comedy
What's Wrong with Secretary Kim,romance
The Silent Sea,thriller
The Silent Sea,mystery
The Silent Sea,horror
The Silent Sea,scifi
Snowdrop,romance
Snowdrop,drama
Snowdrop,melodrama
Snowdrop,political
Adamas,thriller
Adamas,mystery
Adamas,drama
Hellbound,mystery
Hellbound,horror
Hellbound,drama
Hellbound,supernatural
Tomorrow,action
Tomorrow,thriller
Tomorrow,drama
Tomorrow,fantasy
Tomorrow,romance
Tomorrow,drama
Tomorrow,melodrama
Tomorrow,supernatural
Backstreet Rookie,action
Backstreet Rookie,business
Backstreet Rookie,comedy
Backstreet Rookie,romance
Mr. Sunshine,military
Mr. Sunshine,historical
Mr. Sunshine,romance
Mr. Sunshine,melodrama
Start-Up,business
Start-Up,comedy
Start-Up,romance
Start-Up,youth
Flower of Evil,thriller
Flower of Evil,romance
Flower of Evil,crime
Flower of Evil,melodrama
Our Blues,romance
Our Blues,life
Our Blues,drama
Our Blues,melodrama
Nevertheless,romance
Nevertheless,life
Nevertheless,youth
Nevertheless,drama
Nevertheless,mature
Run On,romance
Run On,life
Run On,drama
Run On,sports
Our Beloved Summer,romance
Our Beloved Summer,youth
Our Beloved Summer,drama
Stranger,thriller
Stranger,mystery
Stranger,law
Stranger,drama
Doom at Your Service,comedy
Doom at Your Service,romance
Doom at Your Service,drama
Doom at Your Service,fantasy
Hotel Del Luna,horror
Hotel Del Luna,comedy
Hotel Del Luna,romance
Hotel Del Luna,fantasy
Strong Girl Bong-soon,action
Strong Girl Bong-soon,comedy
Strong Girl Bong-soon,romance
Strong Girl Bong-soon,supernatural
Happiness,action
Happiness,thriller
Happiness,drama
Happiness,scifi
The Uncanny Counter,action
The Uncanny Counter,mystery
The Uncanny Counter,drama
The Uncanny Counter,supernatural
W,thriller
W,comedy
W,romance
W,fantasy
Vagabond,action
Vagabond,thriller
Vagabond,mystery
Vagabond,crime
The K2,action
The K2,thriller
The K2,psychological
The K2,romance
Eve,romance
Eve,drama
Eve,melodrama
She Would Never Know,business
She Would Never Know,comedy
She Would Never Know,romance
She Would Never Know,drama
Tell Me Your Wish,life
Tell Me Your Wish,drama
Tell Me Your Wish,medical
Tell Me Your Wish,romance
Tell Me Your Wish,family
Why Her,mystery
Why Her,law
Why Her,romance
Why Her,melodrama
While You Were Sleeping,romance
While You Were Sleeping,drama
While You Were Sleeping,melodrama
Tale of the Nine Tailed,thriller
Tale of the Nine Tailed,horror
Tale of the Nine Tailed,romance
Tale of the Nine Tailed,fantasy
Extraordinary You,comedy
Extraordinary You,romance
Extraordinary You,youth
Extraordinary You,fantasy
Reply 1988,comedy
Reply 1988,romance
Reply 1988,life
Reply 1988,youth
Hospital Playlist,friendship
Hospital Playlist,romance
Hospital Playlist,life
Hospital Playlist,medical
Boys Over Flowers,comedy
Boys Over Flowers,romance
Boys Over Flowers,youth
Boys Over Flowers,drama
My Mister,psychological
My Mister,life
My Mister,drama
Sell Your Haunted House,thriller
Sell Your Haunted House,mystery
Sell Your Haunted House,comedy
Sell Your Haunted House,fantasy
Because This Is My First Life,comedy
Because This Is My First Life,romance
Because This Is My First Life,life
Because This Is My First Life,drama
Monster,thriller
Monster,mystery
Monster,psychological
Monster,drama
Today's Webtoon,business
Today's Webtoon,comedy
Today's Webtoon,life
Today's Webtoon,drama
Taxi Driver,action
Taxi Driver,thriller
Taxi Driver,crime
Taxi Driver,drama
The Empress Ki,historical
The Empress Ki,romance
The Empress Ki,melodrama
The Empress Ki,political
My Liberation Diary,romance
My Liberation Diary,life
My Liberation Diary,family
My Liberation Diary,melodrama
My Liberation Diary,romance
My Liberation Diary,life
My Liberation Diary,family
My Liberation Diary,melodrama
The Sound of Magic,music
The Sound of Magic,psychological
The Sound of Magic,drama
The Sound of Magic,fantasy
Something in the Rain,romance
Something in the Rain,life
Something in the Rain,drama
Something in the Rain,melodrama
My Roommate Is a Gumiho,comedy
My Roommate Is a Gumiho,romance
My Roommate Is a Gumiho,fantasy
My Love from Another Star,comedy
My Love from Another Star,romance
My Love from Another Star,drama
My Love from Another Star,supernatural
Star's Lover,comedy
Star's Lover,romance
Star's Lover,drama
Star's Lover,supernatural
Healer,action
Healer,thriller
Healer,mystery
Healer,romance
Shooting Stars,comedy
Shooting Stars,romance
Shooting Stars,drama
Juvenile Justice,law
Juvenile Justice,drama
Extracurricular,psychological
Extracurricular,crime
Extracurricular,youth
Extracurricular,drama
D.P.,action
D.P.,military
D.P.,drama
Dr. Romantic,romance
Dr. Romantic,drama
Dr. Romantic,medical
Weightlifting Fairy Kim Bok-Joo,comedy
Weightlifting Fairy Kim Bok-Joo,romance
Weightlifting Fairy Kim Bok-Joo,life
Weightlifting Fairy Kim Bok-Joo,sports
Heirs,comedy
Heirs,romance
Heirs,drama
Heirs,melodrama
Anna,thriller
Anna,drama
The Tale of Nokdu,action
The Tale of Nokdu,historical
The Tale of Nokdu,comedy
The Tale of Nokdu,romance
Romance Is a Bonus Book,friendship
Romance Is a Bonus Book,business
Romance Is a Bonus Book,comedy
Romance Is a Bonus Book,romance
Signal,thriller
Signal,mystery
Signal,scifi
Prison Playbook,comedy
Prison Playbook,crime
Prison Playbook,life
Prison Playbook,drama
Yumi's Cells,psychological
Yumi's Cells,comedy
Yumi's Cells,romance
Yumi's Cells,drama
Ghost Doctor,comedy
Ghost Doctor,medical
Ghost Doctor,fantasy
Ghost Doctor,supernatural
Doctor Lawyer,thriller
Doctor Lawyer,law
Doctor Lawyer,drama
Doctor Lawyer,medical
Good Doctor,romance
Good Doctor,life
Good Doctor,drama
Good Doctor,medical
Beauty Inside,comedy
Beauty Inside,romance
Beauty Inside,melodrama
Beauty Inside,supernatural
Oh My Venus,comedy
Oh My Venus,law
Oh My Venus,romance
Oh My Venus,life
Fight for My Way,business
Fight for My Way,comedy
Fight for My Way,romance
Fight for My Way,sports
Love in the Moonlight,historical
Love in the Moonlight,comedy
Love in the Moonlight,romance
Love in the Moonlight,drama
Her Private Life,comedy
Her Private Life,romance
SKY Castle,mystery
SKY Castle,psychological
SKY Castle,drama
Do You Like Brahms?,music
Do You Like Brahms?,romance
Do You Like Brahms?,drama
Do You Like Brahms?,melodrama
Suspicious Partner,thriller
Suspicious Partner,comedy
Suspicious Partner,law
Suspicious Partner,romance
The World of the Married,thriller
The World of the Married,romance
The World of the Married,drama
The World of the Married,melodrama
Pinocchio,thriller
Pinocchio,mystery
Pinocchio,comedy
Pinocchio,romance
The Devil Judge,mystery
The Devil Judge,law
The Devil Judge,crime
The Devil Judge,drama
A Korean Odyssey,horror
A Korean Odyssey,comedy
A Korean Odyssey,romance
A Korean Odyssey,fantasy
Bulgasal,thriller
Bulgasal,mystery
Bulgasal,drama
Bulgasal,fantasy
Record of Youth,romance
Record of Youth,life
Record of Youth,youth
Record of Youth,drama
The Iron Empress,historical
The Iron Empress,comedy
The Iron Empress,romance
The Iron Empress,fantasy
Black,thriller
Black,mystery
Black,supernatural
Love Alarm,comedy
Love Alarm,romance
Love Alarm,youth
Love Alarm,drama
My Country: The New Age,action
My Country: The New Age,historical
My Country: The New Age,romance
My Country: The New Age,drama
I'm Not a Robot,comedy
I'm Not a Robot,romance
I'm Not a Robot,drama
I'm Not a Robot,scifi
Hell Is Other People,thriller
Hell Is Other People,horror
Hell Is Other People,psychological
Hell Is Other People,drama
Youth of May,historical
Youth of May,romance
Youth of May,youth
Youth of May,drama
One Ordinary Day,thriller
One Ordinary Day,mystery
One Ordinary Day,law
One Ordinary Day,crime
Bad and Crazy,action
Bad and Crazy,thriller
Bad and Crazy,mystery
The Good Detective,action
The Good Detective,thriller
The Good Detective,mystery
The Good Detective,drama
The Fiery Priest,action
The Fiery Priest,mystery
The Fiery Priest,comedy
The Fiery Priest,crime
Clean with Passion for Now,business
Clean with Passion for Now,comedy
Clean with Passion for Now,romance
Clean with Passion for Now,drama
Dr. Brain,thriller
Dr. Brain,mystery
Dr. Brain,scifi
Dr. Brain,medical
Voice,thriller
Voice,mystery
Voice,psychological
Alhambeura Goongjeonui Chooeok,action
Alhambeura Goongjeonui Chooeok,thriller
Alhambeura Goongjeonui Chooeok,romance
Alhambeura Goongjeonui Chooeok,scifi
"Poong, the Joseon Psychiatrist",historical
"Poong, the Joseon Psychiatrist",mystery
"Poong, the Joseon Psychiatrist",romance
"Poong, the Joseon Psychiatrist",medical
Stove League,drama
Stove League,sports
Stove League,melodrama
Rookie Historian Goo Hae-Ryung,historical
Rookie Historian Goo Hae-Ryung,comedy
Rookie Historian Goo Hae-Ryung,romance
Rookie Historian Goo Hae-Ryung,drama
My Secret Romance,comedy
My Secret Romance,romance
My Secret Romance,life
My Secret Romance,drama
Lovers of the Red Sky,historical
Lovers of the Red Sky,romance
Lovers of the Red Sky,drama
Lovers of the Red Sky,fantasy
Insider,action
Insider,thriller
Insider,law
18 Again,romance
18 Again,life
18 Again,drama
18 Again,fantasy
Touch Your Heart,comedy
Touch Your Heart,law
Touch Your Heart,romance
Touch Your Heart,drama
Lawless Lawyer,action
Lawless Lawyer,thriller
Lawless Lawyer,law
Lawless Lawyer,romance
Police University,mystery
Police University,comedy
Police University,romance
Police University,drama
Melting Me Softly,mystery
Melting Me Softly,comedy
Melting Me Softly,romance
Melting Me Softly,scifi
Love All Play,romance
Love All Play,drama
Love All Play,sports
Love All Play,melodrama
Uncontrollably Fond,comedy
Uncontrollably Fond,romance
Uncontrollably Fond,drama
Uncontrollably Fond,melodrama
One Spring Night,romance
One Spring Night,life
One Spring Night,drama
One Spring Night,melodrama
100 Days My Prince,historical
100 Days My Prince,comedy
100 Days My Prince,romance
100 Days My Prince,drama
Kiss Sixth Sense,comedy
Kiss Sixth Sense,romance
Kiss Sixth Sense,fantasy
Kiss Sixth Sense,supernatural
Again My Life,mystery
Again My Life,law
Again My Life,drama
Again My Life,fantasy
Dream High,music
Dream High,comedy
Dream High,romance
The Bride of Habaek,comedy
The Bride of Habaek,romance
The Bride of Habaek,drama
The Bride of Habaek,fantasy
Jingkeuseuui Yeonin,mystery
Jingkeuseuui Yeonin,romance
Jingkeuseuui Yeonin,fantasy
Jingkeuseuui Yeonin,melodrama
She Was Pretty,friendship
She Was Pretty,comedy
She Was Pretty,romance
She Was Pretty,drama
Law School,mystery
Law School,law
Law School,crime
Law School,drama
"Kill Me, Heal Me",psychological
"Kill Me, Heal Me",comedy
"Kill Me, Heal Me",romance
"Kill Me, Heal Me",drama
Aelliseu,mystery
Aelliseu,scifi
Aelliseu,fantasy
Aelliseu,melodrama
When the Weather is Fine,romance
When the Weather is Fine,life
When the Weather is Fine,drama
When the Weather is Fine,melodrama
City Hunter,action
City Hunter,thriller
City Hunter,crime
Haereul poomeun dal,historical
Haereul poomeun dal,romance
Haereul poomeun dal,supernatural
Haereul poomeun dal,political
The Crowned Clown,historical
The Crowned Clown,romance
The Crowned Clown,melodrama
The Crowned Clown,political
Military Prosecutor Do Bae Man,action
Military Prosecutor Do Bae Man,military
Military Prosecutor Do Bae Man,mystery
Military Prosecutor Do Bae Man,law
Oh My Ghost,thriller
Oh My Ghost,comedy
Oh My Ghost,romance
Oh My Ghost,supernatural
Save Me,action
Save Me,thriller
Save Me,mystery
Save Me,drama
Live Up to Your Name,historical
Live Up to Your Name,romance
Live Up to Your Name,medical
Live Up to Your Name,fantasy
My Unfamiliar Family,life
My Unfamiliar Family,drama
Keuleiji Leobeu,comedy
Keuleiji Leobeu,romance
Keuleiji Leobeu,drama
The Innocent Man,romance
The Innocent Man,drama
The Innocent Man,family
The Innocent Man,melodrama
Encounter,business
Encounter,romance
Encounter,life
Encounter,political
Kairos,action
Kairos,thriller
Kairos,drama
Kairos,scifi
"Bring It On, Ghost",horror
"Bring It On, Ghost",comedy
"Bring It On, Ghost",romance
"Bring It On, Ghost",supernatural
Tunnel,thriller
Tunnel,mystery
Tunnel,scifi
Tunnel,fantasy
The Veil,action
The Veil,thriller
The Veil,mystery
The Veil,crime
Private Lives,thriller
Private Lives,mystery
Private Lives,romance
Private Lives,crime
My Golden Life,business
My Golden Life,comedy
My Golden Life,romance
My Golden Life,drama
The 1st Shop of Coffee Prince,food
The 1st Shop of Coffee Prince,comedy
The 1st Shop of Coffee Prince,romance
The 1st Shop of Coffee Prince,drama
Bridal Mask,action
Bridal Mask,historical
Bridal Mask,romance
Bridal Mask,political
"Father, I'll Take Care of You",romance
"Father, I'll Take Care of You",drama
"Father, I'll Take Care of You",family
"Father, I'll Take Care of You",melodrama
A Love So Beautiful,comedy
A Love So Beautiful,romance
A Love So Beautiful,life
A Love So Beautiful,youth
Mystic Pop-up Bar,mystery
Mystic Pop-up Bar,comedy
Mystic Pop-up Bar,drama
Mystic Pop-up Bar,fantasy
The Smile Has Left Your Eyes,thriller
The Smile Has Left Your Eyes,mystery
The Smile Has Left Your Eyes,romance
The Smile Has Left Your Eyes,drama
My Secret Terrius,action
My Secret Terrius,mystery
My Secret Terrius,comedy
My Secret Terrius,romance
School 2017,mystery
School 2017,comedy
School 2017,romance
School 2017,youth
Doctor John,mystery
Doctor John,romance
Doctor John,life
Doctor John,medical
More Than Friends,comedy
More Than Friends,romance
More Than Friends,life
More Than Friends,drama
Designated Survivor: 60 Days,thriller
Designated Survivor: 60 Days,mystery
Designated Survivor: 60 Days,drama
Designated Survivor: 60 Days,political
Bad Guys,action
Bad Guys,thriller
Bad Guys,psychological
Bad Guys,crime
Yeopgijeogin Geunyeo,historical
Yeopgijeogin Geunyeo,comedy
Yeopgijeogin Geunyeo,romance
When the Camellia Blooms,thriller
When the Camellia Blooms,comedy
When the Camellia Blooms,romance
When the Camellia Blooms,drama
My Strange Hero,mystery
My Strange Hero,comedy
My Strange Hero,romance
My Strange Hero,youth
Misty,thriller
Misty,mystery
Misty,romance
Misty,melodrama
Mom,romance
Mom,family
Mom,melodrama
Mom,supernatural
Naesungjukin Boseu,business
Naesungjukin Boseu,comedy
Naesungjukin Boseu,romance
Naesungjukin Boseu,drama
Find Me in Your Memory,romance
Find Me in Your Memory,drama
Find Me in Your Memory,melodrama
Adult Trainee,friendship
Adult Trainee,comedy
Adult Trainee,romance
