Kdrama_name,Episodes,start airing,end airing,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers
Extraordinary Attorney Woo,16,29-Jun-22,18-Aug-22,Netflix,77,9.2,7981,4,233,15+ - Teens 15 or older,"32,794"
Squid Game,9," Sep 17, 2021",N/A,Netflix,60,8.5,62498,307,31,18+ Restricted (violence & profanity),"84,003"
Return,20,18-Jun-22,28-Aug-22,Netflix tvN,80,8.9,5024,36,322,15+ - Teens 15 or older,"26,299"
All of Us Are Dead,12," Jan 28, 2022",N/A,Netflix,62,8.4,28245,394,149,18+ Restricted (violence & profanity),"43,470"
A Model Family,10," Aug 12, 2022",N/A,Netflix,43,7.8,270,39018,3838,18+ Restricted (violence & profanity),"2,061"
Pachinko,8,25-Mar-22,29-Apr-22,N/A,54,8.4,2996,491,1057,15+ - Teens 15 or older,"9,619"
Big Mouth,16,29-Jul-22,17-Sep-22,MBC,71,8.7,1899,112,526,15+ - Teens 15 or older,"18,479"
Crash Landing on You,16,14-Dec-19,16-Feb-20,Netflix tvN,85,9,72283,31,9,15+ - Teens 15 or older,"127,083"
Kingdom,6," Jan 25, 2019",N/A,Netflix,51,8.8,27284,70,110,18+ Restricted (violence & profanity),"52,010"
True Beauty,16,9-Dec-20,4-Feb-21,tvN,75,8.3,48592,576,28,15+ - Teens 15 or older,"87,813"
Sweet Home,51,27-Feb-16,21-Aug-16,MBC,70,7.3,355,4869,4336,15+ - Teens 15 or older,"1,694"
Sweet Home,10," Dec 18, 2020",N/A,Netflix,52,8.7,35709,117,75,18+ Restricted (violence & profanity),"63,401"
The Office Blind Date,12,28-Feb-22,5-Apr-22,Netflix SBS,60,8.7,46954,123,59,15+ - Teens 15 or older,"69,541"
Vincenzo,20,20-Feb-21,2-May-21,Netflix tvN,85,9,51371,32,24,15+ - Teens 15 or older,"92,750"
It's Okay to Not Be Okay,16,20-Jun-20,9-Aug-20,Netflix tvN,75,9,71581,26,7,15+ - Teens 15 or older,"129,060"
Undercover,8," Oct 15, 2021",N/A,Netflix,50,8.7,30303,143,115,18+ Restricted (violence & profanity),"50,103"
The King's Affection,20,11-Oct-21,14-Dec-21,KBS2 Netflix,70,8.3,13227,756,270,15+ - Teens 15 or older,"29,629"
Mouse,20,3-Mar-21,19-May-21,tvN,75,8.8,13600,75,185,18+ Restricted (violence & profanity),"37,102"
