kdrama_name,original_networks
Extraordinary Attorney Woo,Netflix
Squid Game,Netflix
Return,Netflix
Return, tvN
All of Us Are Dead,Netflix
A Model Family,Netflix
Pachinko,NA
Big Mouth,MBC
Crash Landing on You,Netflix
Crash Landing on You, tvN
Kingdom,Netflix
True Beauty,tvN
Sweet Home,MBC
Sweet Home,Netflix
The Office Blind Date,Netflix
The Office Blind Date, SBS
Vincenzo,Netflix
Vincenzo, tvN
It's Okay to Not Be Okay,Netflix
It's Okay to Not Be Okay, tvN
Undercover,Netflix
The King's Affection,KBS
The King's Affection, Netflix
Mouse,tvN
Hometown Cha-Cha-Cha,Netflix
Hometown Cha-Cha-Cha, tvN
Remarriage & Desires,Netflix
Itaewon Class,jTBC
Itaewon Class, Netflix
Descendants of the Sun,KBS
What's Wrong with Secretary Kim,tvN
The Silent Sea,Netflix
Snowdrop,jTBC
Adamas,tvN
Hellbound,Netflix
Tomorrow,MBC
Tomorrow, Netflix
Tomorrow,tvN
Backstreet Rookie,iQiyi
Backstreet Rookie, SBS
Mr. Sunshine,Netflix
Mr. Sunshine, tvN
Start-Up,Netflix
Start-Up, tvN
Flower of Evil,tvN
Our Blues,Netflix
Our Blues, tvN
Nevertheless,jTBC
Nevertheless, Netflix
Run On,jTBC
Run On, Netflix
Our Beloved Summer,Netflix
Our Beloved Summer, SBS
Stranger,Netflix
Stranger, tvN
Doom at Your Service,tvN
Doom at Your Service, ViuTV
Hotel Del Luna,tvN
Strong Girl Bong-soon,jTBC
Happiness,tvN
The Uncanny Counter,Netflix
The Uncanny Counter, OCN
W,MBC
Vagabond,Netflix
Vagabond, SBS
The K2,tvN
Eve,tvN
She Would Never Know,iQiyi
She Would Never Know, jTBC
Tell Me Your Wish,KBS
Tell Me Your Wish, ViuTV
Tell Me Your Wish,MBC
Why Her,SBS
Why Her, Viki
Why Her, ViuTV
While You Were Sleeping,SBS
Tale of the Nine Tailed,tvN
Extraordinary You,MBC
Reply 1988,tvN
Hospital Playlist,Netflix
Hospital Playlist, tvN
Boys Over Flowers,KBS
My Mister,tvN
Sell Your Haunted House,KBS
Because This Is My First Life,tvN
Monster,jTBC
Today's Webtoon,SBS
Today's Webtoon, Viki
Today's Webtoon, ViuTV
Taxi Driver,SBS
The Empress Ki,MBC
My Liberation Diary,jTBC
My Liberation Diary, Netflix
My Liberation Diary,jTBC
My Liberation Diary, Netflix
The Sound of Magic,Netflix
Something in the Rain,jTBC
Something in the Rain, Netflix
My Roommate Is a Gumiho,iQiyi
My Roommate Is a Gumiho, tvN
My Love from Another Star,SBS
Star's Lover,SBS
Healer,KBS
Shooting Stars,tvN
Juvenile Justice,Netflix
Extracurricular,Netflix
D.P.,Netflix
Dr. Romantic,SBS
Weightlifting Fairy Kim Bok-Joo,MBC
Heirs,SBS
Anna,NA
The Tale of Nokdu,KBS
Romance Is a Bonus Book,Netflix
Romance Is a Bonus Book, tvN
Signal,tvN
Prison Playbook,Netflix
Prison Playbook, tvN
Yumi's Cells,tvN
Ghost Doctor,tvN
Doctor Lawyer,MBC
Good Doctor,KBS
Beauty Inside,jTBC
Oh My Venus,KBS
Fight for My Way,KBS
Love in the Moonlight,KBS
Her Private Life,tvN
SKY Castle,jTBC
Do You Like Brahms?,SBS
Suspicious Partner,SBS
The World of the Married,jTBC
Pinocchio,SBS
The Devil Judge,tvN
A Korean Odyssey,Netflix
A Korean Odyssey, tvN
Bulgasal,Netflix
Bulgasal, tvN
Record of Youth,Netflix
Record of Youth, tvN
The Iron Empress,tvN
Black,OCN
Love Alarm,Netflix
My Country: The New Age,jTBC
My Country: The New Age, Netflix
I'm Not a Robot,MBC
Hell Is Other People,OCN
Youth of May,KBS
One Ordinary Day,ViuTV
Bad and Crazy,iQiyi
Bad and Crazy, tvN
The Good Detective,jTBC
The Fiery Priest,SBS
Clean with Passion for Now,jTBC
Dr. Brain,NA
Voice,OCN
Alhambeura Goongjeonui Chooeok,Netflix
Alhambeura Goongjeonui Chooeok, tvN
"Poong, the Joseon Psychiatrist",tvN
Stove League,SBS
Rookie Historian Goo Hae-Ryung,MBC
Rookie Historian Goo Hae-Ryung, Netflix
My Secret Romance,OCN
Lovers of the Red Sky,SBS
