kdrama_name,platform
Extraordinary Attorney Woo,Netflix
Squid Game,Netflix
Return,Netflix
All of Us Are Dead,Netflix
A Model Family,Netflix
Pachinko,Apple TV
Big Mouth,Wavve
Crash Landing on You,Netflix
Kingdom,Netflix
True Beauty,Viki
True Beauty, Apple TV
Sweet Home,
Sweet Home,Netflix
The Office Blind Date,Netflix
Vincenzo,TVING
Vincenzo, Netflix
It's Okay to Not Be Okay,Netflix
Undercover,Netflix
The King's Affection,Netflix
Mouse,Apple TV
Mouse, TVING
Mouse, Viki
Mouse, WeTV
Hometown Cha-Cha-Cha,TVING
Hometown Cha-Cha-Cha, Netflix
Remarriage & Desires,Netflix
Itaewon Class,Netflix
Descendants of the Sun,WeTV
Descendants of the Sun, iflix
Descendants of the Sun, Apple TV
Descendants of the Sun, Hulu
Descendants of the Sun, Viki
What's Wrong with Secretary Kim,WeTV
What's Wrong with Secretary Kim, Apple TV
What's Wrong with Secretary Kim, iflix
What's Wrong with Secretary Kim, Hulu
What's Wrong with Secretary Kim, Viki
The Silent Sea,Netflix
Snowdrop,Disney Hotstar
Snowdrop, Disney
Adamas,Disney
Adamas, Disney Hotstar
Hellbound,Netflix
Tomorrow,Netflix
Tomorrow,KDRAMA
Tomorrow, Viki
Tomorrow, WeTV
Tomorrow, Netflix
Backstreet Rookie,Viki
Backstreet Rookie, Netflix
Mr. Sunshine,Netflix
Start-Up,Netflix
Flower of Evil,Apple TV
Flower of Evil, Hulu
Flower of Evil, Viki
Our Blues,TVING
Our Blues, Netflix
Nevertheless,Netflix
Run On,Netflix
Our Beloved Summer,Wavve
Our Beloved Summer, Netflix
Stranger,Disney Hotstar
Stranger, Netflix
Doom at Your Service,TVING
Doom at Your Service, Prime Video
Doom at Your Service, Viki
Hotel Del Luna,WeTV
Hotel Del Luna, Netflix
Hotel Del Luna, KDRAMA
Hotel Del Luna, Apple TV
Hotel Del Luna, Viki
Strong Girl Bong-soon,Disney Hotstar
Strong Girl Bong-soon, WeTV
Strong Girl Bong-soon, Apple TV
Strong Girl Bong-soon, iflix
Strong Girl Bong-soon, Prime Video
Strong Girl Bong-soon, Viki
Happiness,WeTV
Happiness, Netflix
Happiness, TVING
Happiness, Viki
The Uncanny Counter,Netflix
W,WeTV
W, Apple TV
W, iflix
W, Viki
Vagabond,Netflix
The K2,WeTV
The K2, Netflix
The K2, KDRAMA
The K2, Apple TV
The K2, Viki
Eve,Viki
She Would Never Know,
Tell Me Your Wish,Wavve
Tell Me Your Wish, Viki
Tell Me Your Wish,
Why Her,Viki
While You Were Sleeping,
Tale of the Nine Tailed,Viki
Tale of the Nine Tailed, WeTV
Tale of the Nine Tailed, Netflix
Extraordinary You,Viki
Extraordinary You, WeTV
Reply 1988,WeTV
Reply 1988, Netflix
Reply 1988, Apple TV
Reply 1988, Viki
Hospital Playlist,Netflix
Boys Over Flowers,Apple TV
Boys Over Flowers, Tubi
Boys Over Flowers, AsianCrush
Boys Over Flowers, iflix
Boys Over Flowers, Hulu
Boys Over Flowers, Viki
Boys Over Flowers, WeTV
Boys Over Flowers, Netflix
My Mister,WeTV
My Mister, Netflix
My Mister, KDRAMA
My Mister, Apple TV
My Mister, Viki
Sell Your Haunted House,Viki
Sell Your Haunted House, Netflix
Sell Your Haunted House, Prime Video
Because This Is My First Life,WeTV
Because This Is My First Life, Netflix
Because This Is My First Life, Apple TV
Because This Is My First Life, Viki
Monster,Disney Hotstar
Monster, WeTV
Monster, Netflix
Monster, Viki
Today's Webtoon,Viki
Taxi Driver,Viki
Taxi Driver, Netflix
Taxi Driver, Prime Video
The Empress Ki,Apple TV
The Empress Ki, Prime Video
The Empress Ki, Viki
My Liberation Diary,TVING
My Liberation Diary, Netflix
My Liberation Diary,TVING
My Liberation Diary, Netflix
The Sound of Magic,Netflix
Something in the Rain,Netflix
My Roommate Is a Gumiho,Apple TV
My Roommate Is a Gumiho, TVING
My Roommate Is a Gumiho, Viki
My Roommate Is a Gumiho, Netflix
My Love from Another Star,Viki
My Love from Another Star, Apple TV
Star's Lover,Viki
Star's Lover, Apple TV
Healer,Viki
Healer, Apple TV
Healer, Prime Video
Shooting Stars,Viki
Shooting Stars, TVING
Juvenile Justice,Netflix
